Taxonomy	normal_4	model_2	normal_2	normal_3	normal_5	betaine_1	betaine_2	betaine_3	betaine_5	model_1	model_3	model_4	model_5	betaine_4	normal_1
Helicobacter	0.0147991948624557	0	0.00220454327614301	0	0.0184223138119429	0	1.91699415316783e-05	3.83398830633567e-05	7.66797661267133e-05	1.91699415316783e-05	1.91699415316783e-05	1.91699415316783e-05	0	0	0.0971340937410141
Parasutterella	0.00364228889101888	0.00262628198983993	0.00670947953608741	0.0310744752228506	0.00187865427010448	0.00738042748969616	0.014300776382632	0.015911051471293	0.00483082526598294	0.00151442538100259	0.00874149333844532	0.0167545288986869	0.0066327997699607	0.00661362982842902	0.000421738713696923
Barnesiella	0.0015911051471293	0.00291383111281511	0.00665196971149238	0.00692034889293588	0.00136106584874916	0.00350809930029713	0.0167928687817502	0.00596185181635196	0.00557845298571839	0.00458161602607112	0.00594268187482028	0.0059235119332886	0.0155851624652545	0.00971916035656091	0.000364228889101888
Roseburia	0.0154126329914694	0.000402568772165245	0.00283715134668839	0.00080513754433049	0.0217578836384549	0.000517588421355315	0.00279881146362504	0.0015911051471293	0.000287549122975175	0.00285632128822007	0.000843477427393846	0.00239624269145979	0.00122687625802741	3.83398830633567e-05	0.00617272117320042
Lactobacillus	0.00199367391929455	0.0073420876066328	0.00841560433240679	0.00320138023579028	0.00139940573181252	0.00180197450397776	0.00180197450397776	0.00245375251605483	0.00124604619955909	0.00931659158439567	0.00172529473785105	0.0144157960318221	0.00212786351001629	0.000709287836672098	0.000881817310457203
Oscillibacter	0.00168695485478769	0.00199367391929455	0.00172529473785105	0.00139940573181252	0.00218537333461133	0.0167928687817502	0.00670947953608741	0.00124604619955909	0.00239624269145979	0.0018594843285728	0.00164861497172434	0.00201284386082622	0.00080513754433049	0.00508003450589476	0.00235790280839643
Anaerotruncus	0.0107926770823349	0.00116936643343238	0.000249209239911818	0.00118853637496406	9.58497076583916e-05	0.00262628198983993	0.00508003450589476	0.00276047158056168	0.00134189590721748	0.00475414549985623	0.00325889006038532	0.000824307485862168	0.00145691555640755	0.00444742643534937	0.00046007859676028
Anaeroplasma	0	0	0.00506086456436308	0	0.0182497843381578	0	0	0	0	3.83398830633567e-05	0	0	0	0	0.0127096712355027
Turicibacter	0.00218537333461133	0.00113102655036902	0.000134189590721748	0.00325889006038532	0.000421738713696923	0.0015911051471293	0.00484999520751462	0.00582766222563021	0.00323972011885364	0.000402568772165245	0.00475414549985623	0.000249209239911818	0.00145691555640755	0.00299051087894182	3.83398830633567e-05
Clostridium IV	0.00302885076200518	0.000287549122975175	0.000651778012077063	1.91699415316783e-05	0.0149525543947091	0.00216620339307965	0.00120770631649573	0.000996836959647273	1.91699415316783e-05	0.000421738713696923	0.00105434678424231	0.000785967602798811	0.000555928304418671	0	0.00552094316112336
