Name	Control_P0_1	Heat_P0_1
asns-1	17.14872263	8.046855589
T08G2.2	0.935811267	0.971884217
C56G2.18	0	0.176264456
acs-2	29.72498411	42.20095694
E02H1.6	9.672890716	8.04266779
C01G5.9	0.291482198	0.371517588
ZK899.1	13.91457645	16.59279599
cyb-1	223.3302961	148.6074914
twk-9	0.060761032	0.061955872
tag-307	7.015401471	6.475020824
B0250.19	0.331901063	0.211517347
sre-48	0	0.236914591
Y105C5A.1285	0.300635021	0
linc-53	0.324122132	0.275413212
R07B7.9	0.399468267	0.254577274
ttr-43	4.369646514	1.958493953
K01A2.4	0.032667427	0
dnj-14	12.39530659	15.27083764
F26A1.1	5.641519267	9.608640008
gop-2	29.42591936	19.23560142
sta-2	0.30434003	0.698230679
Y65B4BR.1	0.914630354	0.512938892
sod-2	264.5615265	196.2331542
str-264	0	0.028707566
gst-11	0.677902497	0.302414507
K03D3.5	0	0.082366568
fipr-28	0.192072374	0
str-109	0.042551418	0
gon-14	1.728651368	1.823089227
R05H5.7	0.881273247	0.950445595
C56C10.6	0.245198776	0.70839143
cas-2	15.54482136	11.85685044
csa-1	0.134078222	0.390613752
iars-1	10.29319554	10.31039023
srj-5	0.020827125	0
C07H6.2	43.79250133	54.67462285
nep-7	0.100419582	0.146277557
C42C1.19	4.254639095	4.498242255
K08H2.10	0.170205673	0.216940869
zip-8	0	0.14369385
C09G12.19	0.100211674	0
F09F9.5	0.06286005	0.040060104
anr-32	0.282503336	0.514390435
C01G10.5	0.727853208	0.579817289
hlh-27	0	0.06552582
T10B10.4	7.179625195	4.299133067
T01D1.5	0	0.026572531
mec-12	27.22913375	16.06312446
C18E3.3	0.216564825	0.581633271
rnf-1	18.62599223	14.44261117
linc-171	0	0.023253886
tim-1	0.8017674	1.360386679
srx-45	0.0955056	0.243459193
rps-15	12172.16214	12501.90442
smy-5	0.269400213	0
glo-2	2.259227531	0.785336684
tsp-20	0.938410743	0.660991709
fos-1	15.4195702	32.60892432
T01C8.3	1.860556493	0.672494912
npl-4.1	3.372340665	3.148769578
Y59H11AR.9	13.48348067	31.72760204
trpp-3	56.15267521	57.72176683
bbs-5	0.916853764	0.292151032
C32C4.1	0.821408193	0.33236541
cyp-35A1	0.0279378	0.142435924
F26A3.5	6.164828976	7.857572125
Y51H4A.7	3.235746823	4.203027261
F02E9.7	2.420111916	2.916757066
Y23H5B.12	0.278951077	0.452512662
otpl-4	0	0.015766051
K02F6.7	3.194466856	2.783122986
Y71H2AM.29	44.22308116	36.99616599
col-80	1282.920244	1342.21503
C25E10.13	4.003192642	1.623488408
T03D8.7	0.406741498	0.103684974
ulp-1	1.495853046	2.095981351
gpi-1	75.24336921	55.69502991
K08H2.7	5.318927287	2.958284572
B0303.7	11.47163236	21.49253707
Y7A5A.2	0.524556277	0.060780847
Y37E11AR.7	1.785796868	0.72836552
srh-27	0.077042958	0
osta-2	17.3411746	34.45168908
lnp-1	7.315452167	8.634403775
inx-13	98.43460382	71.87571331
F53H8.3	14.29018464	2.458425304
fic-1	1.901856122	2.839623845
try-5	0.063243343	0.214956653
hot-4	0.709190305	0.497156157
T10G3.1	0.476869343	1.436638197
npax-3	0.268528368	0
memb-1	7.690075246	6.506958881
F56F11.2	1.788853157	4.033912918
ugt-50	20.74381642	13.40743826
nspc-1	10.57527896	10.10928496
ndk-1	8679.40137	8209.173655
mrpl-17	148.1498547	146.0283222
cki-2	42.74121599	31.87977279
unc-64	4.71235099	10.08087812
lgc-24	0.141838061	0.022598007
F10G2.1	33.75149008	41.14291628
mdt-27	2.414624133	3.417372102
nst-1	6.03321052	14.27204121
Y57G7A.5	28.10998796	23.16618562
F21H7.12	0.036585214	0
gpx-4	0.326674274	0.346977275
F29B9.13	0	0.218509656
C17G10.1	5.017042225	4.360804623
C08D8.7	1.009998552	0.495124876
F26F4.8	0.775896324	1.541586824
sek-1	6.032326436	5.439615252
Y71H2AM.1	14.50430556	10.53414795
abu-12	4.757921403	4.536780627
C47F8.1	0.147119265	0.125010252
C46A5.4	0.067437635	0.085954709
copa-1	42.95130845	27.3259941
K08F9.3	0.528504877	0.336811062
C30A5.4	0.255420783	0.395316062
usp-3	4.216528927	3.630855849
F39F10.2	0.208131937	0.20632963
pifk-1	1.637942526	1.175977254
F27C1.1	47.09614617	30.12816531
B0001.10	2.235023991	1.246314334
F25B4.5	15.65754544	17.73800536
T15B7.1	34.62864081	20.93435762
mltn-8	0.121005596	0.110165285
C53B4.2	0.296563214	0.397888162
srw-98	0.023151581	0.029508558
dpt-1	25.62303596	17.90526831
his-62	9.814278736	13.43305731
gst-34	0.031573541	0
T08B6.4	13.45722268	4.406611394
C29F9.15	0.158349744	1.614636236
F08G12.5	0.446103579	1.374104628
Y17G7B.21	30.00372667	25.87273591
linc-21	10.58950069	10.16910322
K08E5.1	0.222013857	0.147638911
D2024.4	0.86193143	1.586868369
bra-1	2.893612073	2.442795447
F20G4.2	0.37108795	0.204958669
C01A2.10	1.11127588	0.472136935
T24D1.7	1.728651368	2.203305697
C15F1.5	1.235462649	1.62549354
F54D5.23	0.132973182	0.508455161
F54E2.1	29.29887676	33.49923968
C17H11.5	0.981703246	2.012896563
sox-2	4.200194234	2.840625527
H31G24.1	0.565740448	0.400601036
lect-2	4.362786786	3.908244629
K12C11.5	4.287055393	5.992991496
kmo-2	0.568101389	0.80684434
Y53F4B.27	6.144841332	6.85096973
ZK1320.3	219.4808264	228.6377701
T09B9.4	7.502804426	5.131328202
pals-25	0.587515498	0.288013817
Y25C1A.7	52.50448131	51.10052112
nhr-8	2.95987868	3.018083428
F53G12.8	6.13768351	6.832723285
ncap-1	107.2738793	86.83222973
tag-314	0.426827498	0.456981922
sulp-1	0.056988507	0.169485054
arrd-6	0.847922423	0.501774728
dmsr-3	0.825350786	0.490922224
pan-1	11.18121522	22.2864145
F22F7.2	1.651005089	0.70839143
nab-1	3.495542259	2.408297704
gst-28	23.97063231	20.60615423
Y39A1A.30	0.151414718	0
C28F5.4	0.024205153	0.030851422
F53H1.3	26.57298964	21.34132146
Y32F6B.9	0.691460547	0.881322279
ZK1053.6	4.411518292	4.388984949
cyp-14A1	0.140540762	0.179130544
K10H10.12	1.422152899	1.187597397
K09F6.10	0.018006785	0.114755505
F02C9.1	3.279091255	1.998875272
C55B6.5	0.33566046	0.256695809
F44A2.13	0.069146055	0.088132228
acox-1.5	4.724980406	2.563846629
F41G4.7	0.343050194	0.696859476
T09A5.5	44.94493557	47.07550709
Y110A2AL.9	6.326128411	9.125748419
C01G12.9	0.834057469	1.063073566
T21E12.5	0.813482997	1.649533677
cpt-2	22.71061263	30.446328
sun-1	18.70152788	17.92393833
cpna-4	0.316872264	0.259636678
C01H6.3	0.257458714	0.234394223
dpy-5	2046.820267	3207.889401
fem-1	16.18852515	12.19046827
srh-69	0.021017038	0.026787911
C25D7.10	24.09635241	17.43568318
F56B3.9	0.09901583	0.084135778
tag-175	20.96777125	22.47907027
ZK945.15	0.216081421	0
K04C1.2	0.873012374	0.697528939
M01H9.10	1.920723742	1.958493953
rbr-2	0.151380188	0.530602239
ZC449.5	2.995395893	3.55026586
srp-7	17.98672689	30.71878287
atg-3	45.36209772	54.88962556
ccpp-6	0.105222257	0.0957959
T06E4.12	214.4735488	110.7233273
mrpl-49	68.22655932	45.7068735
phf-10	4.958959481	4.362100168
C36B1.9	0.276584219	0.57449156
F23D12.10	0.015691238	0
C33D3.5	0.012640961	0.016111925
msp-32	0.921947396	0.440661139
Y66H1A.8	0.894130018	0.455856351
psa-3	3.056983472	0.834936896
anr-49	0.0705915	0.051414037
lin-10	3.353704118	1.621387328
T20B5.2	3.558562649	1.843770458
skr-21	2.187671788	4.232338627
ZK945.7	53.87860584	39.41273231
W04G3.5	53.65317931	28.22881886
ess-2	9.45386737	9.560106076
M153.4	2.985852363	0.867968911
spk-1	10.48794505	12.00251727
C16A11.3	19.37373979	31.65120258
hpo-39	0.078575062	0.267067357
nac-2	4.666447279	3.082304631
ptd-2	0.036897575	0.122275236
fog-2	4.679218465	8.052830386
ifa-1	61.25104986	39.39282001
Y39A1A.2	5.43049503	6.405708271
M03E7.3	1.761267432	0.831436112
F13D11.3	5.018027972	5.187211127
F48F7.3	0.096036187	0.073443523
B0545.4	4.746466469	1.419078246
npr-8	0.552064309	0.334233998
K04D7.9	0	0.244811744
B0361.4	0.148473124	0.162206554
srh-80	0.01862102	0
nbs-1	3.613438989	3.411570112
F14B8.5	6.749184289	8.602380138
bag-1	16.15592653	80.69737643
syd-9	0.335178362	0.949359726
flp-14	78.36552869	64.44669164
ceh-45	2.542314978	1.972408652
E04D5.4	2.755821022	3.512516329
col-177	0.080215841	0.122689876
dyf-6	0.110574714	0.225498238
Y46H3C.7	0.077692196	0.099024975
Y39E4B.16	5.458899058	5.566245972
set-14	2.556795977	3.504793248
Y77E11A.16	0.261307765	0.230578503
sec-24.1	18.60869423	11.36256674
rps-24	3977.626798	4494.610088
mrpl-2	97.21466508	70.26677966
F38H4.4	3.236916905	2.967001297
Y54E10BL.1	0.303938702	0.48424301
ZK896.4	1.237799745	1.487004668
F36H9.2	5.325717407	1.950159936
mlc-1	1548.952499	1169.787822
C44C1.1	65.32149273	14.30131024
C55B7.10	3.008787787	2.620147315
cyp-13A2	1.71525097	0.409917339
aat-8	1.814369618	0.509855864
rfp-1	1.305786053	1.969807962
F28H6.8	0.305955994	0.311972488
C15F1.1	15.45948378	9.243136095
prmt-6	5.056134437	2.995799051
Y41E3.1	15.57780829	14.74519967
F39B2.5	12.96936363	15.16056977
hic-1	5.062479007	6.452538113
K08F11.1	4.481242571	3.132225521
T23F11.2	22.4316335	16.23853648
grl-23	0.089606118	0.256973019
gly-7	28.00623907	25.02104095
vps-4	69.06583889	54.269822
gcy-22	0.006554128	0.041768828
Y48A6B.7	39.03274332	34.57495094
asfl-1	24.36976807	20.5283604
F55C12.2	0	0.309235887
grl-14	0.141542341	0.681538078
T22F3.10	0	0.019412385
prp-19	30.54768909	24.40172232
C50D2.9	6.880543377	5.817595338
F25B4.7	8.738980207	9.416081676
srg-16	0	0.054068851
col-184	1396.185361	1176.397903
Y43F8C.9	136.4524438	71.63775588
mrpl-28	13.07327337	16.09617538
C01F1.3	7.026702319	8.414672611
srm-3	0.813482997	0.86404145
glrx-5	44.14709648	45.36036344
rrp-1	8.773557196	7.883184203
F19B10.10	2.420111916	2.822985424
F49D11.3	0.074887424	0.063633378
F52C6.2	26.54121489	31.55826501
sss-1	147.1150469	77.80275171
ZK180.6	133.6238164	70.58676868
cst-1	0.153039558	0.60291665
C01G12.13	0.969092434	1.402103625
mix-1	0.783099897	1.422857655
zhit-2	3.109743202	3.963618714
F26D2.14	0	0.034561658
ZK757.10	0.223051789	0.056859502
21ur-10048	0.987800782	0
pcp-2	1.074610286	1.206620696
F43D2.3	1.206794351	1.205582363
tag-261	27.35110609	32.41307492
Y73B6BL.22	0.521857017	0.332574445
T21F4.1	19.75300405	46.53811546
clec-206	0.175795054	0.242737068
ned-8	205.1332957	218.6357192
JC8.2	8.820554417	12.42890393
nuo-3	490.2560047	445.0677508
W06B11.8	0	0.197310958
scav-3	10.5593134	13.47517054
F38A5.8	7.759137439	5.180291257
ath-1	161.6923397	118.2811311
nspb-11	51.6461273	22.08745958
ugt-16	0.684998299	0.576565977
nspe-2	4.321628421	17.74885145
K04H4.2	17.27451749	23.47644391
hlh-10	0	0.043414891
tos-1	129.0928094	118.7374458
Y32H12A.1	0.037075633	0.047255886
F43G9.8	0.169337277	0.17986169
Y71F9AL.2	2.836068651	3.046758659
kqt-1	0.086794211	0.110626227
M01F1.9	8.3088311	9.365550102
F19C6.3	0.128643823	0.143471069
srh-95	0.038955524	0
rab-33	7.94730629	6.180701696
fbl-1	2.403309119	1.116255022
act-2	1428.718893	1211.876577
K11D12.6	0.0369765	0
21ur-9860	7.902406255	3.777095481
C44B9.2	9.273075557	9.268686498
C54F6.12	0.105835798	0
T16G1.13	36.27922871	26.78304068
C34F11.8	1.944732789	4.28857716
tag-229	17.81972953	20.43264587
K07F5.12	5.500254353	2.754132121
F56E10.1	1.107548783	1.343008146
F46B3.1	0.073953	0.188518135
F30A10.14	7.051528354	6.020914578
Y57E12AM.1	234.7508558	259.4392458
pqn-29	0.251440199	0.67300974
C53A5.16	2.214125637	1.758018194
B0024.13	7.383014231	8.472065777
larp-5	5.027079425	4.497282411
Y40B1A.1	59.28488442	85.62847141
F32A7.4	4.853270256	4.722557117
Y87G2A.20	1.047667496	1.869471501
apc-17	0.190894016	0.540688515
cit-1.1	3.22934871	1.985396342
F07C3.3	0.0092565	0.047192625
C44C10.7	0.080872579	0.051539315
Y39G10AR.15	1.324073388	2.163638982
fkb-2	1476.299987	1392.570056
app-1	56.4487322	33.45310822
F42H10.6	25.2993212	17.98934299
F55B11.4	89.22682679	69.78140783
C04F5.8	30.50086904	29.77995689
Y48E1B.17	23.6167863	15.7644971
F54D5.9	13.36497948	13.82710572
Y46C8AM.1	2.190340864	1.368512855
acd-5	0.46419729	0.369785572
ric-7	14.10045913	6.971230887
ZC328.5	0.03601357	0.045902202
F40G12.2	0.051989515	0
mef-2	4.724642449	4.652141061
tmem-218	0.598902836	0.27758182
K09H11.11	2.028284272	1.880154195
Y47D3A.34	0.139890862	0.101886969
F57B9.1	19.12939311	20.77125195
Y56A3A.31	8.139311019	4.615738715
btb-17	1.138118292	0.711626685
ins-24	4.055682056	2.11856317
par-1	3.999578303	2.689240241
C07B5.2	0	0.225980071
F08D12.2	27.34123815	21.22450442
vab-10	4.084265703	3.770430018
exos-4.2	40.57330484	29.93582286
linc-55	0.664392697	0.658639425
cpsf-1	2.892667867	2.867618973
F08A8.5	0.193210822	0.201487735
eri-3	4.369846423	4.931295349
acr-2	0.360135702	0.07650367
Y56A3A.6	8.065597373	10.29128518
R57.2	6.341043729	7.635418821
aph-2	1.367619063	1.133651064
rga-8	2.778282259	2.4444471
C44B7.12	3.217335708	5.029654136
sto-5	4.38188838	3.714209396
C50F4.9	0.810305329	1.308212758
T28A8.3	1.17837328	1.615285206
nekl-3	9.310755884	8.260578455
T27E9.6	0.03423072	0.043629816
W07G1.7	0	0.103684974
C27H6.8	59.27094369	54.48174087
clec-144	0.265946364	2.227517848
C06E4.8	0.214406371	0.136639113
nfx-1	2.265768043	2.305602033
K02E2.6	9.423938104	11.72727226
eya-1	0.809307006	0.470521134
hizr-1	0.501058368	0.425759555
asm-2	0.826624887	0.882746063
col-186	10.06137204	7.282782903
pept-2	2.797512138	1.020360399
nhx-5	9.064992162	8.335938337
Y73E7A.1	41.78556916	47.04077442
smgl-2	0.943225548	1.102032336
clec-71	0.029549596	0.094158363
rig-3	1.360250257	1.480910387
gpd-3	393.8696761	424.6581823
bath-1	3.628456337	5.410097157
F32A5.3	12.78300107	9.886136867
F49E2.2	6.871869963	5.033014744
grk-2	0.478553204	0.211616931
R03E9.2	0.691460547	0.454876015
C18E3.10	0.663802125	0.423034694
Y57G11C.39	0.257287646	0.122975202
comt-1	0.108891425	0.222065456
K11H3.4	2.102797829	2.462873218
cdkr-3	28.97078579	13.8493501
F45E4.6	0.440931363	0.817458346
mrck-1	1.023560493	1.23905215
F30B5.4	23.87436188	14.06622601
linc-48	1.325045542	1.28121741
fbxa-147	0.118198384	0.037663345
Y56A3A.18	186.9087541	139.8501322
Y50C1A.2	0.118924418	0.2165411
gcy-13	0.006719733	0.008564842
oac-32	0.326757271	0.228391444
fbxa-157	0.162484202	0.575275639
ipla-3	3.807140416	5.913993825
F45E1.5	0.038343468	0.081453076
C08E8.1	0.134264184	0.256695809
C02F5.10	3.836185228	5.674266727
Y56A3A.2	16.55246723	8.027603253
cyp-13A1	0.039891955	0
clpr-2	0.123230593	0.209423116
lron-5	0.284161869	0.160972106
grd-9	0	0.029926054
C50H11.13	0.059099192	0
clec-119	3.993584019	1.817908991
Y55F3BR.11	11.41458681	10.42198568
F44B9.8	11.48686492	13.18400807
F07E5.12	0	0.156447742
hpd-1	233.3767096	216.1252756
C30F8.3	4.658042609	4.564932762
suds-3	11.68440277	15.21913009
cul-4	1.077066964	1.425206063
lgc-32	0.548216802	0.969229105
Y46E12A.5	4.101884603	3.286286463
T12F5.2	1.299107695	1.682524351
lin-15A	0.489784554	0.685472884
F55A11.11	12.20482744	9.456727944
F40F9.5	7.032602153	2.060429218
F28D9.4	38.43833477	21.29406003
B0303.14	0.677902497	0.928844559
K09F6.3	0.218565116	0.170946132
C14C6.5	165.7471606	163.303834
ruvb-1	30.32569109	18.3654999
C09E7.7	0.088209	0.206120731
plep-1	3.570102173	0.129394788
21ur-10191	0.987800782	1.259031827
T10C6.15	0.199459773	4.660838975
C15H11.12	0	0.275413212
msi-1	7.388503667	5.353826928
elt-4	1.586958633	1.300311559
ape-1	5.612743696	6.856468173
ags-3	3.038679289	3.335741394
Y116F11B.7	2.11233771	2.397869685
F07F6.4	38.47390857	20.10412519
F54D8.6	2.46392466	2.985658912
sbt-1	90.57480848	85.88735038
fbxa-105	0.673103188	1.403876196
nhr-13	2.186154979	0.73327131
T23B7.3	1.762930574	2.097197491
mlt-8	323.8297388	318.4554851
clec-175	1.698324151	0.479315625
ZC239.20	0	0.057602763
pals-37	0	0.072338354
arrd-15	0.114712349	0
tsp-17	0.600855372	0.437622097
F07C4.11	0.081668569	0.034697728
T23B3.6	0.207024116	0.448577208
C39D10.7	17.81749874	15.43065969
grsp-3	7.346768315	7.527961132
ubc-20	295.2190807	292.9955916
Y48G8AL.7	5.358819242	6.35286476
mct-4	23.24226408	8.85795996
col-48	862.8508906	1189.969969
K11D2.5	18.62386574	9.798081495
Y54E10A.13	0	0.053091704
fbxa-188	0.067350053	0.171686158
hsp-16.41	2.929103707	1087.270159
bus-18	0.176392997	0.089930845
C35D10.6	5.906225508	9.670063893
ZC239.3	0	0.062951591
ufd-2	1.83075094	2.665506281
F34H10.3	1.916095492	2.689979646
irld-34	0.052120142	0.066431328
B0025.8	28.72220735	27.02075998
F35C5.3	0.01750533	0
C55A6.11	1.035520626	0.766367199
M163.1	13.1377504	18.44901304
hmg-11	44.8447239	33.46470102
R166.3	27.55521882	38.23447896
K07D4.6	0.514162971	0.225980071
F56D1.1	1.641268991	2.634281976
sra-36	0.038955524	0
rsd-6	3.507408573	3.793517635
linc-122	0	0.146480157
K06G5.3	0	0.025545573
F35A5.2	14.01442359	16.05265579
cdc-25.2	2.45830158	1.876113995
T22H2.4	3.306985226	2.778081096
Y105E8B.15	0.85541511	0
T14B4.8	0.493313113	0.251506952
C43H6.4	0.231220884	0.505216593
rad-51	18.0510202	18.53380513
chst-1	0.0419067	0.053413471
T13H5.1	0.8079478	0.272957627
F19B10.1	3.058877514	8.682171148
fubl-2	56.90323706	46.12106739
best-19	2.074381642	2.381116332
snpc-3.1	5.27522718	6.144429972
vps-39	1.968118224	1.87900962
C10G8.8	11.59869305	12.50909041
H14N18.2	0.046878681	0.029875331
ZK550.3	30.20779131	22.46060659
C47D12.9	0	0.264396684
lgc-43	0.447415648	0.557306735
vps-53	0.593830747	1.167399234
Y71G12B.3	15.93792042	15.56377641
sel-8	1.166839674	0.716074352
Y25C1A.2	0.496857878	0.263868946
srd-64	0.885933826	0.68853303
sly-1	9.164184765	5.496702669
ZK795.3	86.04317937	56.21813444
smk-1	3.27857487	4.065632244
F56D6.9	0	0.413119818
nas-31	0.406286276	0.221933422
F59A3.13	0.470627598	0.276855166
ssp-19	90.64419174	57.52630875
Y37B11A.3	2.853646703	2.168332591
acs-15	0.766106856	1.42714119
T07E3.2	7.375579171	7.246427626
lys-3	0.526609026	10.33073135
EGAP5.1	1.249627495	1.380384292
F43G6.14	0	0.155527461
T12D8.5	32.41471121	54.40764126
phf-14	10.00312925	10.67868828
W04C9.8	0.223452241	0.522147849
F48C5.2	0.687416918	0.721550404
Y106G6D.8	18.58645951	11.06940782
zmp-3	6.795388137	8.463732919
ZK622.5	4.496382794	1.589269683
baf-1	170.1761236	204.2709193
H03E18.2	1.448590532	0.738538222
slc-17.2	49.31205482	32.55897083
K07A12.4	5.490334578	5.241085977
Y7A9A.79	1.385486811	1.618755206
R08D7.8	0	1.057586735
F32F2.3	0.484291434	0.205756174
zyg-8	15.90993626	13.21983418
T21B6.3	7.814681854	7.612394379
F57C7.4	0.013638275	0.005794361
K02D7.1	88.673138	61.95733445
ugt-25	1.50769593	6.709314341
Y116A8C.37	0.370012333	0.265280953
clec-32	0.094461823	0.048159687
smz-1	33.94442687	31.85579437
pat-9	3.171029261	2.638353319
F28B12.6	0.137376268	0
Y11D7A.21	8.683458036	9.838016136
sna-2	0.978874871	2.070576438
R102.6	0.271753054	1.423970494
F25B4.12	0.839345173	0.152830453
siah-1	14.65237826	21.19370242
sre-41	0.019154032	0
F41C3.2	1.825455845	2.820231292
F37A4.4	0.41582679	0.378574862
F27C1.6	2.870414926	2.502520051
Y51H7C.33	0.225476265	0
T05H4.4	0.386672017	0.26091778
Y57G11C.22	0.490011411	0.312279548
B0035.18	43.69118843	51.5234563
B0228.7	26.96456875	45.37742391
lipl-4	0.518077333	0.475438592
ccb-1	3.909966662	3.361399963
C35B8.3	0.808951058	1.270429747
W07B8.4	0.637379834	0.849318956
C39D10.11	1.796708509	2.394143198
F36A2.7	2065.12101	2138.413098
Y63D3A.8	28.89950493	20.91571106
H11E01.2	0.406741498	0.211210132
Y41D4B.24	0.49027765	0.064644666
T10B5.8	0.244764796	0.77993122
ZK512.1	0.659900107	0.548540837
Y55F3AM.11	1.856699618	1.985695258
nas-4	1.543259772	1.941463571
ech-8	0.615684049	0.985954148
pqn-96	46.76544764	64.41742067
C07G1.7	0.033566046	0.256695809
kin-1	50.32615262	24.30956219
fbxb-34	0.022233458	0
dnj-28	2.123272792	1.940689462
W04H10.1	5.258995712	3.97215675
dot-1.2	0.415751595	0.278899455
C46H11.2	0.507183776	0.258578664
K09A11.1	0.07987168	0.232692351
C25F9.11	4.735001574	66.29076271
clec-247	1.152434245	0.927707662
rsp-6	198.2666459	181.3644351
let-19	0.026566769	0.076957936
T28A8.6	1.244188564	1.501615985
madf-1	3.682534185	3.789398723
che-3	0.009944303	0.004224939
ehbp-1	3.028014592	2.178878805
nas-7	6.192453465	4.234028703
ZK418.7	2.057095128	3.194793261
tgt-2	46.36853082	41.16764762
R07H5.8	849.468354	710.2738121
C17G10.10	0.138292109	0.117509637
C05D2.14	0	0.164221543
Y18H1A.17	0.12421447	0.316642735
K04A8.20	0.901905062	1.302824238
ZK353.9	11.28172472	11.84935695
R10E4.11	0.997065033	1.642792993
C07D10.5	0.344822845	0.439504549
epg-4	3.391657748	7.279275784
21ur-14159	2.963402346	0
F54G2.1	0.215568163	0.10990361
T23E7.2	38.33854609	41.92903088
glb-30	0.253282252	0.193697204
tomm-20	352.3156122	306.5509344
E02A10.3	1.980239126	1.365428883
rpb-10	196.1510876	214.4982899
cutl-25	0.304529257	0.06849655
mecr-1	44.89482974	37.6030839
str-165	0.041158366	0
R05G9.1	0.223051789	0.142148755
F19C7.2	1.482614112	1.400992902
cdc-6	3.650485356	5.620764437
ZK54.3	0.07682895	0.587548186
srx-13	0.042420892	0.054068851
K08B12.13	4.840223831	3.701553571
M163.16	0.186881229	0.119097605
sms-1	28.64701165	36.21727735
rnst-2	37.24008948	45.8602343
K09C8.9	13.82921095	7.007234512
43617	45.74440374	60.32941174
F02C12.7	0	1.55527461
tra-1	6.29229098	4.771730624
F43D2.6	22.84826156	28.39816232
srd-54	0	0.026151996
glb-17	0.50749398	0.444703902
