	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1700102P08Rik	7.712525953	1.394690818	0.915400012	1.523586192	0.127612115	0.348237916
1700109H08Rik	9.589897432	-0.297616987	0.682524235	-0.436053362	0.662798014	0.831049091
1700123O20Rik	169.9151518	-0.121682369	0.147465093	-0.825160492	0.40928048	0.656528957
1810013L24Rik	386.1358101	0.16968788	0.099054147	1.713082036	0.086697448	0.277080044
1810022K09Rik	216.9865773	0.148333855	0.139685628	1.061912074	0.288275603	0.546413668
1810030O07Rik	337.9243177	-0.202937065	0.107553207	-1.886852754	0.059180133	0.218974545
1810032O08Rik	56.93813315	-0.095141207	0.267950957	-0.35506948	0.722537541	0.865187168
1810037I17Rik	276.6801493	-0.078446269	0.121767728	-0.644228735	0.51942712	0.737296422
1810043G02Rik	52.61713111	-0.09000974	0.281065578	-0.320244625	0.748782897	0.880410708
1810055G02Rik	208.5237054	-0.357914868	0.157788286	-2.268323438	0.0233095	0.119698862
2010111I01Rik	373.7927765	-0.441504474	0.10225572	-4.317650634	1.57699E-05	0.000324907
2010300C02Rik	5.262500547	0.81026353	1.047328978	0.77364758	0.439139227	0.678570692
2010315B03Rik	46.19804585	0.060728931	0.326739163	0.185863643	0.852551694	0.934015302
2210016F16Rik	456.9460263	0.052886691	0.090737729	0.582852266	0.559992757	0.764536296
2210016L21Rik	180.768807	-0.150187581	0.145056127	-1.035375644	0.300493516	0.55817606
2210408I21Rik	29.15434905	-0.187072552	0.371615701	-0.503403252	0.614680786	0.801844717
2210418O10Rik	13.56445953	0.52827344	0.60362252	0.875171853	0.381480406	0.632606166
2300009A05Rik	57.17946909	-0.17276254	0.264232502	-0.653827742	0.513222791	0.73424051
2310009B15Rik	56.34032953	0.220698098	0.271365931	0.813285945	0.416054133	0.661318203
2310011J03Rik	266.7758453	-0.075936782	0.118479033	-0.640930131	0.521568078	0.73824115
2310022A10Rik	535.422024	-0.210975641	0.09381225	-2.248913561	0.024517996	0.124077302
2310022B05Rik	91.68015061	-0.554888665	0.211055719	-2.629109832	0.008560871	0.059659271
2310033P09Rik	208.009634	-0.040690036	0.14719711	-0.276432303	0.782216049	0.897222592
2310034G01Rik	10.1784148	1.398846856	0.719600947	1.943920254	0.051905068	0.203050955
2310039H08Rik	42.60627535	-0.136795137	0.323895626	-0.422343267	0.672774481	0.83712357
2310057M21Rik	156.2010762	0.122452518	0.155791377	0.786003184	0.431865622	0.673350275
2310061I04Rik	247.9432581	-0.160075656	0.145874747	-1.097350013	0.272488416	0.529955644
2410002F23Rik	578.4001637	0.143400926	0.082128056	1.746065015	0.080799655	0.265261639
2410004B18Rik	137.8354549	-0.074576807	0.173306529	-0.430317353	0.666964806	0.83385159
2410015M20Rik	280.5127835	0.213799647	0.118008056	1.81173772	0.070026732	0.243597725
2410131K14Rik	194.7543133	0.056763478	0.135551935	0.418758156	0.675392889	0.838221405
2410141K09Rik	10.17028386	1.219021102	0.741262236	1.644520714	0.100068689	0.303053648
2510002D24Rik	119.4117521	0.278250991	0.184515268	1.508010659	0.131551799	0.354366356
2510009E07Rik	1890.091274	0.203555435	0.055900944	3.641359525	0.000271202	0.003811202
2510039O18Rik	818.1658289	-0.37377034	0.091502695	-4.084801414	4.41145E-05	0.000807361
2610001J05Rik	411.0153373	-0.263509122	0.101356874	-2.599815	0.009327403	0.06334256
2610002M06Rik	183.4283911	0.126036591	0.143803096	0.876452559	0.380784056	0.632222417
2610008E11Rik	43.02261946	0.970061887	0.337118183	2.877512805	0.004008236	0.033479115
2610021A01Rik	207.5273097	0.176218373	0.152065864	1.158829264	0.246525787	0.504965423
2610044O15Rik8	41.82073092	0.303974182	0.31230435	0.973326761	0.330390926	0.584828927
2610301B20Rik	118.5887117	0.155684112	0.198103653	0.78587199	0.431942486	0.673350275
2610318N02Rik	142.0531527	-0.278539756	0.168124772	-1.656744293	0.097571184	0.298608941
2610507B11Rik	2614.89789	-0.221641762	0.064170704	-3.453940021	0.00055246	0.006917453
2610528A11Rik	26.93890494	-0.616637863	0.420024737	-1.468098918	0.142077355	0.369896205
2700049A03Rik	237.5534702	-0.071859138	0.132545788	-0.542145769	0.587718091	0.784938976
2700062C07Rik	55.34798907	-0.304473325	0.287629441	-1.058561058	0.28979973	0.547592639
2700081O15Rik	21.76780719	0.888989552	1.360662534	0.653350504	0.51353034	0.734442689
2700097O09Rik	47.7412291	0.336433713	0.29485914	1.140998079	0.253870722	0.51105535
2810004N23Rik	199.4308017	0.151365836	0.132703627	1.140630733	0.254023622	0.511159425
2810006K23Rik	97.5563036	-0.386594354	0.200266343	-1.930401029	0.053557167	0.20712321
2810021J22Rik	39.76126834	-0.103855758	0.329214499	-0.315465322	0.752408377	0.882460679
2810408A11Rik	5.361425503	1.341314235	1.278838003	1.048853906	0.294245363	0.551591625
2900026A02Rik	342.7278667	-0.630978935	0.111857007	-5.640942411	1.69122E-08	6.21546E-07
3110001I22Rik	55.17128879	-0.029065125	0.285665211	-0.101745412	0.918958755	0.965551659
3110009E18Rik	14.92039241	0.750543858	0.534732431	1.403587691	0.160441663	0.39703107
3110040N11Rik	74.20238762	0.093542325	0.219084935	0.426968313	0.669402407	0.834563504
3110070M22Rik	5.661646753	0.679035311	0.943864036	0.719420685	0.471881756	0.704971228
3110082I17Rik	235.1823236	0.067106654	0.138483392	0.484582688	0.627972397	0.810198032
3425401B19Rik	14.06562101	-0.139304266	0.612094069	-0.227586368	0.819967819	0.917988576
3830403N18Rik	69.28886866	-1.580384465	0.250723748	-6.303289887	2.91393E-10	1.32965E-08
3830406C13Rik	157.8612137	-0.001943816	0.175305365	-0.011088169	0.991153102	0.996275138
4430402I18Rik	7.084072334	1.495598676	0.952348349	1.570432373	0.116314556	0.330293596
4833420G17Rik	208.9987842	0.149400807	0.139759274	1.068986715	0.285075656	0.542845367
4833439L19Rik	657.296072	-0.175048254	0.079546907	-2.20056643	0.027766732	0.134319468
4921524J17Rik	91.74159484	0.441139792	0.218503507	2.018914013	0.043496157	0.180323399
4921536K21Rik	7.213803583	-0.987415199	0.839672601	-1.175952624	0.239613808	0.49734473
4930402H24Rik	227.0516134	0.61538141	0.143005159	4.303211269	1.6834E-05	0.000342678
4930426L09Rik	4.279580979	-0.980310011	1.355014502	-0.72346828	0.469392235	0.702921281
4930430F08Rik	74.01311602	-0.217520386	0.227843721	-0.954691159	0.339733902	0.592824756
4930432K21Rik	84.94803084	0.355347123	0.213632224	1.663359184	0.096240558	0.296349436
4930447C04Rik	5.023808995	0.833293118	1.158690367	0.719168073	0.472037369	0.70497135
4930452B06Rik	4.804768087	2.715298546	3.123931913	0.869192614	0.384741787	0.634917332
4930453N24Rik	250.4241765	-0.072553745	0.136624619	-0.531044446	0.59538798	0.790401811
4930503L19Rik	74.42057031	0.02340327	0.236691254	0.098876784	0.921236102	0.965902376
4930518I15Rik	15.65238147	-0.423471835	0.611693656	-0.692293979	0.488752731	0.716015905
4930522L14Rik	30.15877768	-0.70332762	0.424214056	-1.65795454	0.097326642	0.29827534
4930524J08Rik	12.23573123	1.100688266	0.62810412	1.752397781	0.079705433	0.26293898
4930539E08Rik	6.61670124	0.967455077	1.031397238	0.938004332	0.348242184	0.602314578
4930550L24Rik	8.765979523	1.07661579	0.768976909	1.400062572	0.161494582	0.398496718
4930562C15Rik	6.378168961	-0.045171978	0.883678641	-0.051118106	0.959231409	0.984495663
4930579G24Rik	248.869629	0.073090985	0.129688833	0.56358735	0.573034998	0.773642763
4930590J08Rik	4.797501439	0.529944315	1.164993485	0.454890368	0.649188113	0.822409599
4931406B18Rik	10.28760143	0.677250778	0.840945287	0.805344639	0.420620829	0.664451909
4931406C07Rik	101.4687931	-0.124880109	0.189674377	-0.658392086	0.51028622	0.731794138
4931406P16Rik	511.4446189	-0.128142498	0.098572659	-1.299980127	0.193607781	0.440468228
4931408C20Rik	6.195191088	2.146666597	1.146958427	1.871616745	0.061259645	0.223806731
4931409K22Rik	6.9233882	0.042799098	0.850653832	0.050313179	0.959872822	0.984883264
4931414P19Rik	87.97829767	-0.235196473	0.206713651	-1.137788782	0.25520869	0.512823583
4931428F04Rik	27.80388212	0.31822659	0.383145682	0.830562903	0.406220599	0.653669834
4931429L15Rik	5.184043091	2.881919857	1.222455403	2.357484657	0.018399216	0.101948618
4931440F15Rik	4.97312509	0.363740452	1.063136324	0.34213905	0.732246251	0.871194071
4932415D10Rik	8.142211298	0.040172959	0.889219154	0.045177793	0.963965595	0.986219532
4932438A13Rik	739.6538007	0.065559121	0.078518383	0.834952517	0.403744444	0.65185379
4933408B17Rik	9.83774711	-0.265031955	0.705622261	-0.375600332	0.707214044	0.856362049
4933425L06Rik	4.234262306	0.725885629	1.131464276	0.641545336	0.521168436	0.738123279
4933427D14Rik	135.6361511	0.008931111	0.161455094	0.055316378	0.955886415	0.983120446
4933430I17Rik	4.802750882	2.61367571	1.306763742	2.000113429	0.045488017	0.185698084
4933434E20Rik	632.9689784	0.064246286	0.091594995	0.701416995	0.483042819	0.711819043
5031439G07Rik	1007.299731	-0.426329695	0.072893175	-5.84869154	4.95455E-09	1.92491E-07
5330417C22Rik	8.000078406	0.899453292	0.879774751	1.022367704	0.3066069	0.562904277
5430403G16Rik	30.01047983	0.870871594	0.364732193	2.387701469	0.016954107	0.096512489
5430419D17Rik	8.421709094	1.199887639	0.79139242	1.516172773	0.129475671	0.351208891
5430427O19Rik	275.9502637	-0.099250152	0.118240732	-0.839390541	0.40125019	0.650632016
5730409E04Rik	58.81364652	-0.120978317	0.281385465	-0.429938047	0.667240708	0.83385159
5730455P16Rik	176.1500433	0.223796554	0.149294408	1.499028378	0.13386627	0.358039272
5730480H06Rik	71.18447625	0.12506498	0.255289805	0.489894142	0.624208808	0.807694225
5830411N06Rik	4.442063858	1.95297359	1.211134919	1.612515302	0.106849853	0.314732956
5830473C10Rik	6.401629842	2.262103918	0.959833487	2.356767033	0.018434808	0.102066987
6030458C11Rik	248.632864	-0.067064227	0.134516851	-0.498556322	0.618091982	0.80377425
6430531B16Rik	107.4841006	-0.37975056	0.2033285	-1.867670098	0.061808069	0.224903967
6430548M08Rik	459.2230605	-0.262123352	0.100087567	-2.618940189	0.008820341	0.06088274
6430550D23Rik	5.662222256	0.499351807	0.939159485	0.531700755	0.594933269	0.790046937
6820408C15Rik	4.680889011	1.91811657	1.252534371	1.531388371	0.125673436	0.345489682
8030462N17Rik	175.6591975	0.327348729	0.147280047	2.222627824	0.026240906	0.129424681
9030025P20Rik	32.10245339	0.242890755	0.3454766	0.703059933	0.4820184	0.711052962
9130008F23Rik	15.63349134	1.496984297	0.593654354	2.521642916	0.011680822	0.074711106
9130019O22Rik	48.1220232	0.488617761	0.284519267	1.717345072	0.085916141	0.276190943
9130023H24Rik	26.11838268	-0.230831368	0.411966725	-0.560315564	0.575264213	0.775266875
9130230L23Rik	9.32842345	0.035228049	0.792089624	0.044474827	0.964525917	0.986285413
9130401M01Rik	88.3720907	-0.329806249	0.230176135	-1.432842936	0.151902728	0.385296269
9330161L09Rik	12.31082028	0.153656273	0.614325814	0.250121791	0.802493165	0.908752669
9330182L06Rik	8.781214548	3.288637567	0.998823452	3.292511364	0.000992969	0.011085706
9430015G10Rik	359.9307224	-0.053056686	0.116034489	-0.457249277	0.647491883	0.821094342
9430038I01Rik	78.02122681	0.285166215	0.233872353	1.219324183	0.222721174	0.476114214
9530053A07Rik	8.849459428	0.643821046	0.777339178	0.82823697	0.407536311	0.654799349
9530068E07Rik	1483.563182	-0.097483278	0.075645666	-1.288682925	0.197508341	0.445171295
9830107B12Rik	5.123697407	-0.452720712	1.362184529	-0.332349034	0.739625718	0.875396511
9930012K11Rik	25.35260268	-0.024396324	0.40253034	-0.060607416	0.951671867	0.981213817
9930021J03Rik	314.5529475	0.008545277	0.109738807	0.077869232	0.937932074	0.974554928
9930104L06Rik	47.28922978	-0.04763719	0.281640978	-0.169141544	0.865685308	0.937908424
9930111J21Rik1	61.42914964	-1.053386062	0.25936891	-4.061342829	4.87913E-05	0.000882265
9930111J21Rik2	122.3982252	-1.427349377	0.181057909	-7.883385943	3.18627E-15	2.39375E-13
A130010J15Rik	107.1595115	-0.174205347	0.187083147	-0.931165364	0.351768031	0.60517987
A230050P20Rik	241.9589491	-0.136538825	0.129442575	-1.054821605	0.291506921	0.549246138
A2m	4.455227825	1.285597852	1.133362119	1.134322235	0.256659406	0.514150648
A2ml1	5.29207694	3.309165884	1.258975882	2.628458522	0.008577282	0.059659271
A3galt2	5.011646295	1.583572127	1.243765716	1.273207733	0.202944337	0.452238816
A430005L14Rik	283.3868779	0.010718178	0.12517394	0.085626274	0.931763512	0.971409903
A430033K04Rik	51.80629658	0.032319471	0.266545697	0.121253019	0.903490631	0.958245503
A430078G23Rik	5.256196694	0.734820199	1.165362235	0.630550894	0.528334216	0.742792459
A530016L24Rik	4.474269076	-0.114905686	1.226991525	-0.093648313	0.92538853	0.968030867
A530032D15Rik	16.40078555	-0.990838899	0.563430035	-1.758583743	0.078648236	0.261289694
A630001G21Rik	252.9157766	0.134800401	0.119530266	1.127751202	0.259425007	0.516873443
A630089N07Rik	204.5099347	0.491245049	0.169816336	2.89280207	0.003818218	0.032288639
A830018L16Rik	4.335595543	3.650697139	1.656481939	2.20388587	0.027532372	0.133764133
A930004D18Rik	6.180560663	0.170247148	1.046810469	0.162634166	0.870806484	0.941049557
AA986860	5.991158843	0.172550467	0.916672084	0.188235761	0.85069184	0.933557231
Aaas	434.370883	-0.110269363	0.098459137	-1.11995053	0.262734844	0.520025131
Aacs	196.842312	-0.600321367	0.135895284	-4.417529067	9.98356E-06	0.000214465
Aaed1	128.6860608	-0.003789039	0.16441838	-0.023045109	0.981614291	0.992341917
Aagab	318.3245668	0.179261958	0.117898914	1.520471663	0.128392475	0.349665708
Aak1	524.9999455	-0.121908044	0.087085983	-1.399858393	0.161555728	0.398496718
Aamdc	10.71139084	0.377266916	0.650969839	0.579545922	0.56222087	0.765971927
Aamp	626.9963634	-0.133034715	0.08059169	-1.650724958	0.098794749	0.300687421
Aar2	291.5500517	-0.076927733	0.118132279	-0.651199942	0.514917428	0.735167168
Aars	1665.141541	-0.016722	0.065054451	-0.257046201	0.797143107	0.905635556
Aars2	110.3412258	-0.228912812	0.206750075	-1.107195788	0.268209288	0.525141814
Aasdh	100.0841002	0.533978307	0.242681444	2.200326067	0.027783769	0.134354087
Aasdhppt	356.9573021	0.045170269	0.102460151	0.440856947	0.659316564	0.828549706
Aass	10.32069836	0.924308953	0.719941929	1.283865984	0.199188851	0.447771532
Aatf	283.7480189	0.036837308	0.117230788	0.314228953	0.753347154	0.883180844
Aatk	12.74931284	0.522399073	0.710518963	0.735235933	0.462195819	0.696546464
AB124611	224.6125131	-0.471619458	0.145778877	-3.235170069	0.001215703	0.013135973
Abat	9.589454022	0.5718992	0.742691611	0.770035896	0.4412786	0.680365272
Abca1	24.14880863	-0.022980528	0.418400834	-0.054924672	0.956198476	0.983120446
Abca12	9.161025866	1.919441933	0.868288077	2.210604965	0.027063205	0.132355481
Abca13	18.96753592	-0.058230461	0.55450212	-0.105013956	0.916364735	0.964601925
Abca15	4.568474995	2.629318068	1.281893869	2.051119934	0.040255268	0.171059731
Abca17	9.868571981	0.932314108	1.538015524	0.606179907	0.544395294	0.753715647
Abca2	568.8470122	-0.033278857	0.096069928	-0.346402439	0.729040292	0.869756966
Abca3	612.4587607	-0.268249567	0.094452902	-2.840035196	0.004510856	0.036532826
Abca4	18.85647235	0.204885808	0.549834307	0.37263191	0.70942242	0.857620794
Abca5	11.04082877	0.877447075	0.665858691	1.317767699	0.187581424	0.432474093
Abca6	5.748582064	1.391034329	1.057686128	1.315167413	0.188453644	0.433382827
Abca7	319.2903436	-0.181813083	0.113057182	-1.608151562	0.107801989	0.316265684
Abca8a	10.04494983	0.848573633	0.806846022	1.051716944	0.292929435	0.55062959
Abca8b	6.521313796	1.686075863	0.981595902	1.717688369	0.085853472	0.276054744
Abcb10	42.13511728	0.126344206	0.319896415	0.394953491	0.692877213	0.849111782
Abcb11	8.285888046	1.14886451	0.910077027	1.262381618	0.206811501	0.456919141
Abcb1a	5.186254146	1.124839109	1.031398508	1.090596021	0.275450681	0.533106625
Abcb1b	905.5423343	-0.185440962	0.072821004	-2.546531238	0.010879947	0.070821218
Abcb4	393.7178979	0.42976772	0.107793573	3.986951254	6.69278E-05	0.001175819
Abcb6	245.9041705	-0.09165478	0.127340248	-0.719762848	0.471671023	0.704888732
Abcb7	977.7184638	0.027394102	0.067830435	0.403861517	0.686314557	0.84485914
Abcb8	300.416312	-0.170009808	0.113332589	-1.500096396	0.133589434	0.357588411
Abcb9	9.343798476	1.363953084	0.770630518	1.769918336	0.076740746	0.256898243
Abcc1	1818.539063	0.150564485	0.062098104	2.424622892	0.015324296	0.089896365
Abcc10	35.55422667	0.527835337	0.351084315	1.503443232	0.132724785	0.35611516
Abcc12	8.764748099	2.482862042	0.928308495	2.674608769	0.00748165	0.054258923
Abcc2	14.10150463	1.377126595	0.677942197	2.03133335	0.04222119	0.176477994
Abcc3	118.5248072	0.062906114	0.178716408	0.351988463	0.724846915	0.867046552
Abcc4	640.4023809	-0.169913792	0.088358464	-1.923005266	0.054479388	0.209116246
Abcc5	143.7053242	-0.616282868	0.186678796	-3.301300845	0.000962376	0.01080627
Abcc6	9.761850059	1.386986885	1.546252069	0.89699921	0.369719339	0.622439466
Abcc8	9.465317344	2.947277477	0.864201056	3.410407167	0.00064866	0.007889511
Abcc9	4.633376518	1.256109055	3.191290748	0.393605332	0.693872444	0.849693749
Abcd1	527.5562262	-0.545227859	0.088681765	-6.148139428	7.83971E-10	3.40589E-08
Abcd2	38.51321558	0.379283081	0.349727159	1.084511372	0.278138128	0.535391844
Abcd3	480.422576	0.090208896	0.091149488	0.989680779	0.322330173	0.577096206
Abcd4	120.8494286	0.03002678	0.182359584	0.164656991	0.869213971	0.940041721
Abce1	3446.247597	-0.005173	0.049006725	-0.105556935	0.915933895	0.964601925
Abcf1	1375.820437	-0.227360554	0.063192606	-3.597898056	0.000320799	0.004379748
Abcf2	1882.12515	-0.138790526	0.05923904	-2.34288954	0.019135047	0.104645108
Abcf3	228.4104925	-0.287574728	0.159711504	-1.800588695	0.071767732	0.247364802
Abcg1	73.45946341	-0.246604969	0.240217281	-1.026591292	0.304612956	0.561111755
Abcg2	11.05375713	1.199212466	0.805637092	1.488526878	0.136611999	0.361762408
Abcg4	10.83698757	0.055063125	0.685625243	0.080310819	0.935990054	0.973653056
Abcg8	5.45626797	2.200968887	1.12908502	1.949338489	0.051255015	0.201435172
Abhd10	90.83759728	0.537104034	0.20785499	2.584032422	0.009765261	0.065445059
Abhd11	176.9457776	-0.073337655	0.149014571	-0.492150901	0.622612671	0.806774071
Abhd12	576.6594979	-0.189384738	0.084517821	-2.240766913	0.025041177	0.125464233
Abhd13	327.6892743	0.055756309	0.111306678	0.500925099	0.616423838	0.802578643
Abhd14a	16.70439121	0.0471072	0.515621447	0.091360048	0.927206506	0.968889116
Abhd14b	7.479585185	0.62430036	0.833956282	0.748600824	0.454097835	0.689539069
Abhd15	17.89622973	-1.106303373	0.525347015	-2.105852593	0.035217159	0.15610927
Abhd16a	304.4010973	-0.268432663	0.114577928	-2.34279558	0.019139867	0.104645108
Abhd17a	437.7611384	-0.076742403	0.105491349	-0.727475801	0.466934534	0.700848504
Abhd17b	258.9737117	-0.171185275	0.129935166	-1.317466862	0.187682182	0.432559713
Abhd17c	453.5288648	-0.012592408	0.098027577	-0.128457815	0.89778668	0.955284252
Abhd18	28.82063717	-0.513623657	0.427995863	-1.200066873	0.23011337	0.485354677
Abhd2	545.4864376	0.064394044	0.104348183	0.617107482	0.537163834	0.748721086
Abhd4	124.6385312	-0.249083087	0.174141107	-1.430352036	0.152616007	0.386294578
Abhd5	463.7818971	-0.171403529	0.10389312	-1.649806345	0.098982551	0.301071473
Abhd6	98.55487533	0.665596313	0.216886458	3.068869849	0.002148702	0.020634214
Abhd8	95.64175017	-0.393035591	0.197506078	-1.989992388	0.046591774	0.189008038
Abi1	939.7939939	-0.166245116	0.067121117	-2.476793044	0.013256875	0.0819768
Abi2	559.2802012	0.165560542	0.085721881	1.931368518	0.053437496	0.206726334
Abi3	78.8021903	-0.077122003	0.213651804	-0.360970519	0.718121486	0.862823591
Abi3bp	8.724978682	1.762245316	0.969524658	1.817638469	0.069119408	0.241367671
Abl1	491.1298891	-0.081323961	0.097228829	-0.836418192	0.402919682	0.651629618
Abl2	673.944965	-0.055354332	0.080593848	-0.686830746	0.492189393	0.718573262
Ablim1	9.688458552	1.369288046	0.76103256	1.79925028	0.071979099	0.247525974
Ablim2	6.65990607	1.389128574	1.017136119	1.365725341	0.172025187	0.41214811
Ablim3	4.882774804	0.546326375	3.124862652	0.174832124	0.861211546	0.936485774
Abr	2458.740568	0.095873268	0.063162756	1.517876582	0.129045515	0.350741736
Abracl	298.7160022	0.169824613	0.115770927	1.466902068	0.142402698	0.370317821
Abraxas1	164.6273817	0.447959275	0.158942363	2.818375584	0.004826731	0.038519989
Abraxas2	462.4281735	0.19046437	0.095026702	2.004324735	0.045035286	0.184565949
Abt1	147.6542322	0.093270007	0.15411992	0.60517814	0.545060639	0.754007775
Abtb1	48.09967053	-0.213251666	0.295427583	-0.721840744	0.470392396	0.703906218
Abtb2	21.0354848	1.335251575	0.46025317	2.901124123	0.003718266	0.03167981
AC117239.2	553.8449888	-0.014640233	0.091195835	-0.160536201	0.872458707	0.941787211
AC125149.1	21.38158813	0.0045177	0.500584131	0.009024858	0.992799303	0.996904809
AC133103.1	168.8307925	-0.028510221	0.160444235	-0.177695518	0.858962105	0.936327592
AC149090.1	747.5672724	0.285616	0.078444525	3.640993446	0.000271588	0.003811202
AC168977.1	243.7316455	-0.777338319	0.130344778	-5.963708936	2.46576E-09	9.97898E-08
AC170998.1	6.084806853	1.06202216	1.045771985	1.015538927	0.309849	0.565395425
Acaa1a	587.1412971	-0.009367844	0.0856182	-0.109414172	0.912873993	0.962989951
Acaa1b	49.12573371	0.324412211	0.293506484	1.105298277	0.269030364	0.526294762
Acaa2	199.3488939	0.059376495	0.148020905	0.401135872	0.688320091	0.846036999
Acaca	641.7529012	-0.383274388	0.084866725	-4.51619159	6.29617E-06	0.000141513
Acacb	18.45310135	0.206009688	0.559306836	0.368330359	0.712626918	0.859526417
Acad10	48.04195617	-0.427282795	0.281726827	-1.516656396	0.129353459	0.351125076
Acad11	100.8795583	0.238373254	0.190382944	1.252072527	0.210543437	0.461322859
Acad12	31.72387634	-0.046412324	0.404653678	-0.114696409	0.90868576	0.960595411
Acad8	176.8219775	0.172510952	0.162491575	1.061660903	0.288389655	0.546477498
Acad9	378.0881441	-0.056857231	0.114567912	-0.496275355	0.619700152	0.804779016
Acadl	628.5699357	-0.102926765	0.086690033	-1.187296408	0.235110724	0.491897144
Acadm	351.5231865	-0.16135706	0.120965411	-1.333910734	0.182233113	0.425832353
Acads	200.4655782	-0.052185712	0.146644581	-0.355865259	0.721941474	0.864819328
Acadsb	210.5757316	-0.315885588	0.148406448	-2.128516603	0.033294275	0.150710902
Acadvl	146.3803263	-0.113992285	0.160622112	-0.709692353	0.477894935	0.708176315
Acan	8.467521073	1.578169248	0.901506963	1.750590192	0.080016526	0.263568632
Acap1	36.68451959	0.717718403	0.323504691	2.218571855	0.026515866	0.13040244
Acap2	1286.731805	-0.162775628	0.063309882	-2.571093547	0.010137794	0.067410132
Acap3	272.8091108	-0.465156375	0.155112735	-2.998827764	0.002710205	0.02481708
Acat1	957.7328025	-0.128847588	0.0879852	-1.464423425	0.143078292	0.371506322
Acat2	212.3885435	-0.415380705	0.130611934	-3.180266098	0.001471399	0.015208323
