sample	Rh_RN1	Rh_RN2	Rh_RN3	Rh_RP1	Rh_RP2	Rh_RK1	Rh_RK2	Rh_RCK	Bk_RN1	Bk_RN2	Bk_RN3	Bk_RP1	Bk_RP2	Bk_RK1	Bk_RK2	Bk_RCK
aadA5-02	2.672247857	2.083068857	2.691447857	0	2.299377857	0	0	0	2.162664857	0	2.025189857	0	2.212116857	0	0	0
aadA9-01	0	2.123169857	0	2.597169857	2.438703857	0	0	2.797644857	0	2.536362857	2.366958857	0	2.409399857	0	2.723280857	2.249430857
aadA9-02	2.069916857	0	1.968552857	0	0	2.265096857	2.061894857	0	0	0	2.023848857	0	0	1.835523857	1.993425857	0
aadD	0	2.346243857	1.928058857	2.604732857	0	2.464947857	0	0	2.504985857	2.492478857	2.495949857	0	2.607378857	0	0	0
aadE	2.940822857	3.019125857	2.709672857	2.753316857	2.932119857	2.495220857	2.779122857	2.767803857	3.294108857	3.053499857	3.166365857	2.960199857	2.809734857	2.903184857	2.916366857	3.059766857
acrA-01	0	0	0	2.751210857	0	0	0	2.750946857	0	2.892099857	0	2.664279857	2.428746857	2.705277857	2.438925857	2.645421857
acrA-02	2.733597857	2.149692857	2.780403857	2.421996857	0	2.483463857	2.234343857	1.902633857	0	2.286705857	2.425392857	2.185929857	0	2.244597857	2.493045857	0
acrA-03	2.672955857	0	2.454225857	2.225130857	2.073768857	2.339679857	0	0	0	0	2.188230857	0	0	1.884048857	1.868763857	0
acrA-04	4.294200857	0	4.233675857	4.078254857	3.885486857	4.141638857	4.054530857	3.754086857	0	0	4.038438857	3.896451857	3.652875857	3.804006857	0	3.701172857
acrA-05	4.026450857	3.611529857	3.981024857	3.864552857	3.698181857	3.999075857	3.866559857	3.607575857	3.418854857	3.638820857	3.711018857	3.676011857	3.545556857	3.616446857	3.667668857	3.378054857
acrB-01	1.989069857	0	2.121297857	0	0	1.965144857	2.004054857	0	0	0	0	2.002746857	0	2.100546857	1.921302857	0
acrF	2.390190857	2.175360857	2.206755857	2.155914857	2.039028857	2.535663857	2.354010857	2.070498857	0	2.231328857	1.819251857	1.797099857	0	1.876698857	2.232612857	2.016870857
acrR-01	0	2.170164857	0	2.562927857	2.567232857	0	0	0	1.877439857	0	2.421390857	2.458557857	2.203167857	2.334330857	2.282370857	1.874292857
adeA	2.818344857	2.024028857	0	1.973961857	2.098560857	2.329494857	2.249634857	2.128830857	0	2.077008857	2.603244857	2.336193857	1.861671857	1.902345857	1.944534857	0
ampC-01	0	2.712750857	0	2.823450857	2.767671857	2.820288857	3.107823857	2.430477857	1.903350857	2.724741857	2.822676857	2.581221857	2.698899857	3.057141857	2.942307857	2.788734857
ampC-02	2.606166857	0	2.718897857	0	0	2.616675857	2.583546857	2.230944857	0	2.389425857	2.230881857	2.267307857	2.289135857	2.176035857	2.257314857	0
ampC-04	3.825498857	3.482391857	0	0	3.460965857	3.795732857	3.755208857	3.514158857	3.174021857	3.760857857	0	3.498348857	0	3.373401857	3.650970857	3.496089857
ampC-05	2.249124857	0	2.355105857	2.272467857	2.290209857	2.340663857	2.306274857	0	0	0	2.047893857	2.020638857	0	2.464704857	2.169996857	0
ampC-06	0	0	0	0	0	0	0	2.747031857	0	0	0	0	0	3.088431857	0	0
ampC-07	2.047116857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ampC-09	2.497035857	0	2.444337857	2.412792857	2.064516857	2.328519857	2.426340857	0	1.899033857	2.006730857	2.771643857	2.284872857	2.018457857	0	2.351856857	1.989924857
aph(2')-Id-01	0	0	0	0	0	0	0	0	0	0	1.813254857	0	0	0	0	0
aphA1(aka kanR)	0	0	0	1.918131857	0	0	0	0	0	0	0	0	0	0	0	0
bacA-01	0	2.730081857	3.825663857	0	0	2.684532857	2.560308857	2.016063857	3.710772857	2.771499857	0	2.576883857	2.323137857	0	2.406216857	0
bla1	0	2.722578857	0	2.331363857	2.565867857	0	2.488008857	2.156994857	0	2.521392857	0	4.349244857	2.513805857	0	0	2.594871857
blaCMY2-01	0	0	0	0	0	0	0	0	0	0	2.672637857	0	0	1.904109857	0	0
blaCMY2-02	2.994138857	2.431002857	2.852547857	2.670129857	2.443743857	2.780475857	2.708217857	0	2.302098857	2.633451857	2.697375857	2.393886857	2.338962857	2.341386857	2.647059857	2.387856857
blaCTX-M-01	3.163224857	0	0	0	2.614131857	0	2.782974857	2.502603857	0	2.705460857	0	0	0	0	2.413065857	0
blaCTX-M-02	0	2.266737857	2.572869857	2.443476857	2.111790857	2.741286857	2.518308857	0	1.872834857	2.538783857	0	0	0	2.147247857	2.244171857	0
blaCTX-M-04	3.202410857	2.652345857	3.095070857	2.746560857	0	3.131148857	2.981250857	2.604705857	2.387079857	2.670675857	2.743404857	2.448309857	2.371818857	2.461524857	2.636793857	2.375202857
blaCTX-M-05	2.221209857	0	0	0	2.031780857	2.137425857	1.835460857	0	0	0	0	0	0	0	0	0
blaCTX-M-06	0	0	2.350395857	0	0	0	0	0	0	0	0	0	0	0	0	0
bla-L1	0	2.018310857	0	0	0	1.918350857	0	0	0	1.966392857	0	0	0	0	0	0
blaMOX/blaCMY	1.821663857	0	0	0	0	0	2.188125857	0	0	0	0	0	0	1.854081857	0	0
blaOCH	2.299725857	0	2.279646857	2.035422857	1.893783857	2.016843857	2.185029857	2.061741857	0	1.983708857	1.892004857	0	1.812894857	0	1.840758857	0
blaOXY	0	0	0	2.982069857	2.966679857	0	2.978022857	2.308353857	2.063625857	0	2.523744857	2.446347857	2.277651857	2.526723857	2.847795857	0
blaPAO	0	0	1.910322857	0	0	0	0	0	0	0	0	0	0	0	0	0
blaROB	0	0	0	0	0	0	2.159802857	0	0	0	0	0	0	2.109792857	0	0
blaSFO	4.227435857	3.797499857	4.079691857	3.849099857	3.906051857	4.187835857	4.119963857	3.676563857	3.400134857	0	3.637065857	3.720309857	3.733293857	3.809073857	0	3.755898857
blaVIM	2.248728857	0	1.958145857	1.881039857	0	2.467869857	2.032596857	0	0	0	1.815489857	0	0	0	0	0
carB	0	1.974732857	2.266137857	1.927569857	0	0	0	0	0	0	0	0	0	0	1.977441857	0
ceoA	0	0	0	3.317463857	3.112050857	0	0	3.076059857	0	0	0	0	3.050388857	0	3.166998857	2.952903857
cmlA1-01	2.959329857	0	2.741031857	2.377128857	2.066826857	0	2.244348857	2.395257857	2.036382857	2.512572857	2.543709857	2.398785857	0	1.895163857	2.337321857	0
cmlA1-02	2.824989857	2.261787857	2.861940857	0	2.720511857	2.799534857	2.725740857	2.407914857	2.588961857	0	2.748933857	0	2.387826857	2.406777857	2.643087857	0
cmx(A)	2.975724857	2.827527857	2.843589857	2.978517857	2.917254857	2.945469857	2.836158857	2.107560857	2.686857857	2.641032857	2.803476857	2.410110857	2.479056857	2.580783857	2.734914857	2.278407857
cphA-01	3.909147857	3.295161857	3.796830857	3.698757857	3.491616857	3.824814857	0	3.270285857	3.271860857	0	3.570888857	3.454878857	3.206157857	0	0	3.257907857
cphA-02	2.697126857	0	0	2.380485857	0	2.457312857	2.438982857	0	0	2.288118857	2.206152857	2.219256857	0	0	2.487039857	2.200104857
dfrA1	0	0	0	0	0	0	0	0	0	2.567868857	2.304375857	0	0	0	0	0
emrD	0	0	0	0	3.869991857	0	0	0	0	0	0	3.615150857	0	0	0	3.254283857
erm(34)	2.455377857	0	2.249985857	0	2.058618857	0	0	0	1.875519857	2.270421857	2.081172857	2.350659857	0	1.916514857	0	0
erm(36)	3.235983857	2.817723857	3.247035857	3.160902857	3.051207857	3.125700857	2.924076857	0	0	2.914377857	0	2.770407857	2.777985857	0	2.844768857	0
ermA	2.710920857	2.611590857	2.496633857	0	2.558964857	2.587635857	2.765400857	2.576487857	2.544489857	2.694711857	2.753271857	2.224410857	0	0	2.597859857	2.798727857
ermB	0	0	0	0	2.019213857	0	0	0	0	0	1.946136857	0	0	0	0	0
ermC	2.442945857	2.836680857	2.533803857	2.506590857	2.008962857	2.500533857	2.054199857	2.212107857	2.394705857	2.709414857	2.650875857	2.600484857	2.699802857	2.431218857	2.544252857	2.395320857
ermF	0	0	0	0	0	0	0	0	2.143212857	0	2.167734857	0	0	0	0	0
ermT-01	2.662947857	2.440647857	1.846512857	2.734590857	2.278374857	0	2.240268857	2.285694857	2.786640857	2.301978857	2.506731857	2.332893857	2.459019857	2.323422857	2.714904857	0
ermT-02	3.123672857	3.102879857	2.384010857	2.963166857	3.028140857	2.400759857	2.922630857	2.669988857	0	3.137556857	0	2.914974857	3.065568857	2.700675857	2.836044857	2.865543857
ermY	2.940765857	2.756862857	2.511339857	2.563509857	2.365476857	2.541534857	2.671110857	2.501310857	2.735265857	2.747100857	2.829228857	2.820036857	2.651313857	2.240553857	2.700201857	2.740212857
fabK	0	0	0	0	0	0	1.806825857	0	0	0	0	0	0	0	0	0
floR	3.617064857	3.009504857	3.436509857	3.166692857	0	3.131202857	3.204432857	0	0	3.077145857	0	2.425458857	0	0	2.879316857	0
fox5	0	0	0	0	0	0	0	4.037454857	3.769602857	0	4.160085857	0	0	0	0	3.951060857
lnuA-01	0	1.915902857	0	0	0	0	0	0	0	0	0	0	1.900431857	0	0	2.097489857
lnuB-01	0	2.292150857	0	0	0	0	0	0	0	0	2.593842857	0	0	2.341368857	2.399604857	0
lnuB-02	0	2.480169857	0	0	0	0	0	0	0	0	2.237571857	0	0	0	2.171610857	0
marR-01	2.526585857	2.047434857	2.581104857	2.235675857	1.995624857	2.541633857	2.219847857	2.189205857	0	0	2.054697857	2.128839857	2.114163857	2.146692857	2.073792857	0
matA/mel	0	0	2.928072857	2.388438857	0	0	0	2.272992857	2.854938857	3.219201857	0	2.642313857	2.932371857	0	0	2.414124857
mdtE/yhiU	2.913939857	2.257248857	0	2.546205857	2.383254857	2.746074857	0	0	1.952409857	2.704518857	2.471619857	2.311563857	2.140944857	2.380047857	2.431872857	2.003931857
mefA	0	0	0	2.885703857	2.593830857	2.913891857	2.865723857	0	3.022107857	2.830491857	3.242466857	2.671047857	2.866401857	2.510292857	0	2.825238857
mepA	3.750690857	0	0	3.707589857	0	3.831723857	3.708519857	0	3.187353857	0	3.503310857	0	3.417972857	0	0	3.325173857
mexA	2.505651857	1.923054857	0	2.262777857	2.094120857	2.303700857	0	1.906185857	0	2.019810857	1.813845857	2.030055857	0	1.831440857	0	0
mexE	3.810831857	0	3.469359857	3.038427857	2.945067857	3.332196857	3.219378857	2.280525857	0	0	2.731929857	0	2.543928857	2.899767857	0	0
mexF	0	0	0	0	0	0	0	5.304564857	0	0	0	5.313336857	5.310528857	5.265186857	0	5.285754857
mphA-01	4.251735857	3.821241857	4.242924857	4.003449857	3.950178857	4.262055857	4.175445857	3.945813857	3.510966857	3.970401857	3.890580857	3.820479857	0	3.847188857	3.996075857	3.824226857
mphA-02	3.606003857	3.212784857	3.514746857	3.332508857	3.278943857	3.613581857	3.515340857	0	0	0	3.277092857	3.157155857	3.059577857	0	3.302571857	2.971809857
mphB	0	0	1.891629857	1.781421857	0	0	0	0	0	0	0	0	0	0	0	0
mtrC-01	0	2.853870857	0	2.342835857	2.395242857	3.117249857	2.949282857	2.834118857	2.456916857	0	2.382699857	2.300943857	1.945029857	2.861085857	2.959482857	2.653572857
mtrC-02	0	1.806192857	1.912167857	0	0	0	0	0	0	0	0	0	0	0	0	0
mtrD-02	0	0	0	2.354511857	0	2.978880857	0	2.652024857	2.561703857	2.928363857	2.101542857	0	0	2.715696857	2.737116857	2.646759857
mtrD-03	0	0	0	1.914558857	0	0	0	2.302632857	0	0	0	0	0	2.574222857	2.488335857	2.287623857
ndm-1	1.872231857	0	1.856382857	0	0	0	0	0	0	0	0	0	0	0	0	0
oleC	0	3.842565857	3.973440857	0	0	3.828798857	4.007610857	0	3.799797857	3.809112857	3.739311857	3.788598857	3.702387857	0	3.738003857	0
oprD	0	0	0	0	4.036629857	0	0	0	3.616050857	0	4.005261857	0	3.824103857	0	0	0
oprJ	0	0	0	0	4.548150857	0	0	4.474893857	0	0	0	0	4.410093857	0	0	4.411038857
pikR2	3.728949857	3.311403857	3.612321857	3.500295857	3.341445857	3.691809857	3.491466857	3.178842857	3.107181857	3.479013857	3.301536857	3.184791857	3.103257857	3.220053857	3.431220857	3.171489857
pncA	4.297272857	3.889401857	4.212204857	4.056684857	3.907554857	4.173522857	4.049862857	3.753231857	3.536934857	0	3.853350857	3.806691857	3.636900857	3.750132857	3.917115857	3.636984857
putitive multidrug	0	0	0	0	0	0	2.511906857	0	0	0	0	4.505562857	2.436549857	0	0	0
qacEdelta1-01	3.503562857	3.303342857	3.330894857	2.977857857	3.020835857	2.532435857	2.788488857	2.381385857	3.434391857	3.019899857	3.790872857	2.803671857	2.752197857	3.048543857	2.731080857	2.733909857
qacEdelta1-02	3.660879857	0	3.589314857	3.217338857	3.128370857	3.405663857	3.414975857	0	0	3.364638857	0	3.297258857	0	3.195183857	0	0
qacH-01	2.951943857	2.355567857	0	2.932311857	2.636895857	2.839767857	2.804370857	2.736165857	2.331486857	2.731260857	0	2.582520857	2.465913857	0	0	2.662122857
rarD-02	0	0	0	0	0	0	1.807488857	0	0	0	0	0	0	0	0	0
sat4	2.274549857	2.903472857	0	2.332308857	0	0	2.725983857	0	2.733582857	2.737908857	2.849679857	0	2.687643857	2.782701857	2.603634857	0
spcN-02	0	1.940853857	0	2.447898857	2.191986857	0	0	1.886940857	0	2.093115857	2.261448857	2.151387857	1.918743857	1.780308857	2.036799857	0
str	0	0	0	0	0	0	0	0	2.376222857	0	0	0	0	0	0	0
strA	3.226020857	2.723181857	2.821515857	3.290688857	2.673150857	0	0	2.858001857	0	0	0	0	0	0	0	0
strB	0	2.972136857	2.886414857	0	2.587629857	0	2.418852857	0	0	2.241555857	0	0	0	0	0	0
sul1	0	0	0	3.604506857	3.550740857	0	0	0	0	0	0	0	3.601074857	0	0	2.972271857
sul2	3.975219857	3.326232857	3.753000857	3.253803857	3.206826857	2.884020857	2.994066857	2.971728857	3.864627857	3.324897857	4.032801857	3.325605857	2.765619857	3.076038857	2.604444857	2.542161857
sulA/folP-03	0	2.411220857	0	0	2.079126857	0	0	0	2.272410857	2.412003857	0	2.086695857	2.172762857	1.766916857	2.054820857	0
tet(34)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.096733857
tetA-02	3.303195857	0	0	0	0	3.324585857	0	0	2.510358857	3.248019857	0	3.059673857	0	0	0	0
tetD-02	2.844720857	2.543103857	2.939652857	2.564904857	0	2.735619857	2.733873857	2.603409857	0	2.873493857	2.867982857	2.452068857	2.248557857	2.323533857	2.673987857	2.275122857
tetG-01	3.601128857	0	3.330687857	3.374169857	3.039921857	3.080823857	3.173148857	2.917791857	0	0	3.189045857	3.117102857	2.636151857	2.773980857	2.843421857	2.539707857
tetG-02	3.987261857	0	0	3.591717857	3.364143857	0	0	0	3.188301857	2.661438857	3.506718857	0	0	0	0	2.768496857
tetL-02	0	3.790797857	0	0	0	0	0	3.524886857	3.917577857	0	3.721158857	3.614028857	3.835353857	3.303402857	3.545727857	3.555882857
tetM-01	0	2.741571857	2.470347857	2.652663857	2.485137857	2.343507857	2.773875857	2.299773857	2.683320857	2.647407857	2.916180857	2.704530857	2.826957857	2.646744857	2.491734857	2.511096857
tetM-02	0	2.435052857	2.765202857	0	2.545998857	2.427426857	2.543184857	0	2.253195857	2.596836857	2.513325857	2.546181857	2.469378857	2.244186857	2.703504857	0
tetO-01	0	0	2.487678857	0	0	0	0	0	2.111481857	2.395932857	0	0	2.337942857	0	0	0
tetPA	1.855569857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tetPB-01	0	0	0	0	0	0	0	0	0	0	0	4.216452857	0	0	2.300559857	0
tetPB-02	2.912094857	0	2.836380857	2.605986857	2.519385857	0	2.602398857	0	0	0	2.623995857	0	0	0	0	0
tetPB-03	0	0	0	0	0	0	0	0	0	0	0	2.195106857	0	0	0	0
tetPB-04	0	0	0	0	0	0	0	0	1.970559857	0	0	4.243362857	0	0	0	0
tetPB-05	0	0	0	0	0	0	2.182752857	0	0	2.170353857	0	4.192431857	0	0	0	2.012817857
tetQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.322024857	0
tetR-02	3.436578857	0	3.400074857	3.214056857	3.127821857	3.391584857	3.181779857	2.906433857	2.680434857	3.094749857	3.160836857	3.012657857	2.926035857	2.946285857	0	2.880783857
tetT	2.246193857	2.501922857	2.118963857	2.133693857	2.071608857	0	2.176851857	2.228175857	2.396514857	2.525376857	2.559039857	2.287851857	2.253669857	1.828431857	2.288511857	2.426436857
tetX	2.445129857	2.596281857	0	0	0	0	0	0	2.598084857	0	2.183160857	0	0	0	0	0
tolC-01	1.839234857	0	0	0	1.833384857	0	0	0	0	2.034870857	0	0	0	0	0	0
tolC-02	3.087645857	0	0	0	2.668842857	2.729154857	2.644908857	2.512443857	2.309649857	2.798586857	2.674542857	2.615193857	2.361552857	2.335926857	0	2.565492857
tolC-03	3.131115857	2.673072857	0	2.748267857	2.687691857	0	2.895885857	2.764305857	2.379792857	2.769441857	2.676228857	2.706741857	2.443074857	2.488362857	2.637834857	2.427273857
ttgA	2.533221857	0	2.376498857	0	2.099088857	2.114139857	0	2.389638857	0	0	2.013486857	0	0	0	0	0
ttgB	1.883322857	2.203719857	2.384526857	0	0	0	2.327874857	0	2.256285857	0	0	0	0	1.944099857	0	0
vanA	0	0	0	0	0	0	2.146836857	0	0	0	0	0	0	0	0	0
vanB-01	3.663426857	3.295110857	3.585513857	3.372015857	3.318471857	3.571440857	3.449484857	3.269298857	3.120537857	3.407232857	3.371778857	3.357303857	3.252705857	3.117516857	3.307119857	3.153699857
vanC-03	4.166013857	3.730638857	0	3.796893857	3.714876857	4.058058857	3.991077857	0	3.415350857	3.800922857	3.766956857	3.653010857	3.594039857	3.645945857	3.769008857	3.492528857
vanC2/vanC3	0	0	1.868043857	0	0	0	0	0	0	0	0	0	0	2.114376857	0	0
vanHB	0	2.919936857	3.261129857	3.102177857	3.093558857	0	0	0	0	2.925195857	3.085635857	0	0	0	0	0
vanHD	1.845993857	0	0	1.814706857	0	0	0	0	0	0	0	0	0	0	0	0
vanRA-01	0	2.451372857	0	0	0	0	2.899620857	0	0	2.552514857	0	2.485917857	2.497266857	0	2.522304857	2.539218857
vanRB	2.445222857	0	0	2.264433857	0	0	0	0	0	0	1.944846857	2.255526857	0	1.912689857	0	0
vanRC	0	0	0	0	0	0	0	0	0	0	0	0	0	2.131389857	0	0
vanSC-02	0	0	0	1.782978857	1.823196857	0	0	0	0	0	0	0	0	2.007048857	0	0
vanTC-01	0	0	0	0	0	0	0	0	0	0	0	0	0	2.606283857	0	0
vanTC-02	3.108108857	2.523948857	3.261483857	0	2.935506857	0	2.823246857	2.722029857	2.295678857	0	2.491746857	0	2.593467857	2.853375857	2.913687857	2.665470857
vanYD-01	3.178101857	2.690244857	3.120090857	2.780991857	2.679975857	0	3.076473857	2.623347857	2.217066857	2.888073857	0	2.648805857	2.391345857	2.553636857	2.707806857	0
vatE-01	0	2.186703857	2.550378857	2.043795857	2.020947857	2.031303857	1.989303857	1.863423857	0	0	1.817928857	2.097960857	0	0	1.934388857	0
vgb-01	2.337972857	0	0	2.140416857	0	0	1.980798857	0	0	0	0	0	2.177631857	0	1.854564857	0
yceL/mdtH-01	3.471291857	2.859597857	0	3.107439857	2.934948857	3.262503857	3.153180857	3.115209857	0	0	2.995323857	2.922804857	2.741259857	2.746032857	2.918304857	3.008433857
yceL/mdtH-03	3.086724857	0	0	2.727480857	2.346090857	0	0	0	1.934799857	0	2.595612857	2.084094857	2.099301857	2.335998857	2.450529857	0
yidY/mdtL-01	2.925438857	2.295651857	0	0	0	0	0	0	2.057892857	0	2.076357857	2.348784857	2.075466857	2.236953857	2.530710857	0
