Name	Control_P0_1	Control_P0_2	Control_P0_3	Heat_P0_1	Heat_P0_2	Heat_P0_3	log2Fold_change	qvalue
Y39A1A.10	0	0.115649177	0	0	0	0	#NAME?	1
F57C7.12	0	0	0	0	0	0	NA	NA
21ur-2659	0	0	0	0	0	0	NA	NA
21ur-2118	0	0	0	0	0	0	NA	NA
smz-2	23.66052273	18.9668856	12.89284629	19.22884972	20.33312424	14.08481785	0.068475235	1
21ur-12165	0	0	0	0	0	0	NA	NA
ztf-23	1.547554558	1.966036012	2.978792688	1.55280592	1.547630921	2.456734183	-0.121314312	1
F35A5.t1	0	0	0	0	0	0	NA	NA
21ur-5762	0	0	0	0	0	0	NA	NA
zipt-15	8.554151101	6.868227962	4.465144896	8.301114248	6.979988287	11.35896403	0.533095656	0.376601742
F48C1.3	0	0	0	0	0	0	NA	NA
col-95	2.587400758	7.502647105	29.11423254	10.06413183	9.220824729	76.78544026	1.366451876	0.922346699
21ur-6337	0	0	0	0	0	0	NA	NA
hsp-12.2	218.6510379	208.1695608	183.7065745	260.0297715	264.9971487	239.6158575	0.439273972	0.57718234
R08E3.12	0	0	0	0	0	0	NA	NA
F25H10.7	0	0	0	0	0	0	NA	NA
T05A7.7	0.80715239	1.63326338	1.13169059	0.411512348	0.63991865	0.308838179	-1.266606625	0.086367389
21ur-13001	0	0	0	0	0	0	NA	NA
21ur-12977	0	0	0	0	0	0	NA	NA
R02D5.23	0	0	0	0	0	0	NA	NA
21ur-10593	0	0	0	0	0	0	NA	NA
sre-54	0	0.018800891	0	0.024079844	0	0	0.548684949	1
Y104H12D.4	26.18586702	20.83452052	18.03885527	21.29862174	18.85333519	24.5463441	0.102568371	1
B0348.5	3.567407919	2.388671142	0.999768717	5.136368695	5.586720785	2.856359734	1.087073592	0.180190246
fipr-15	0	0	0	0	0	0	NA	NA
21ur-14473	0	0	0	0	0	0	NA	NA
21ur-1458	0	0	0	0	0	0	NA	NA
fbxa-80	0.961633874	0.934192608	0.611467427	0.817119994	1.270655245	0.735893887	0.290916018	0.89912407
gad-2	0.131171378	0.130536266	0.212687925	0.167188508	0.233455933	0.19358881	0.430727041	0.991811497
F49C5.5	0	0	0	0	0	0	NA	NA
21ur-5834	0	0	0	0	0	0	NA	NA
21ur-4602	0	0	0	0	0	0	NA	NA
lgc-37	0.257154749	0.298561254	0.123999025	0.18209138	0.19416658	0.131192417	-0.295075146	1
gbh-1	3.326220168	3.277503163	3.00843423	2.819395916	3.136265711	2.877683897	-0.008296737	1
21ur-12329	0	0	0	0	0	0	NA	NA
21ur-1798	0	0	0	0	0	0	NA	NA
T06A4.4	0	0	0	0	0	0	NA	NA
C06A6.10	0	0	0	0	0	0	NA	NA
21ur-9451	0	0	0	0	0	0	NA	NA
21ur-8793	0	0	0	0	0	0	NA	NA
F08F8.11	0.501866526	0.332957712	0.223382858	0.710743773	0.378938003	0.320046016	0.533152514	0.942761777
hlh-12	0.549505071	0.865837052	1.834402281	0.233462855	0.259317397	0.683330038	-1.374305921	0.486512505
Y38E10A.8	0.16690427	0.213552188	0.015919238	0	0	0.027369452	-3.753356912	0.329307229
T21D12.11	0	0.009691727	0	0.01241299	0	0	0.548684949	1
F58F12.5	0	0.155213369	0	0.198794499	0.176647791	0.17903326	2.008438946	0.971967424
C17D12.13	0	0	0	0	0	0	NA	NA
set-26	2.15923889	1.994105178	1.264931447	2.098896314	2.274241929	2.208511952	0.397280617	0.607828896
ZC196.8	0.025421344	0	0	0	0	0	#NAME?	1
F18E3.10	0	0	0	0	0	0	NA	NA
21ur-683	0	0	0	0	0	0	NA	NA
W01C8.8	0	0	0	0	0	0	NA	NA
T06A1.8	0	0	0	0	0	0	NA	NA
21ur-14703	0	0	0	0	0	0	NA	NA
F25B3.2	0.411583659	0.307193127	0.20609728	0.157378978	0.163153862	0.11811222	-0.959040252	0.616954726
21ur-1920	0	0	0	0	0	0	NA	NA
ncx-10	0.033969132	0.101413976	0.090718803	0.028864267	0.012824321	0.025995004	-1.6207513	0.50337203
madf-10	0.823867886	1.259099659	1.139411005	0.52504306	0.699825928	0.64172631	-0.672112752	0.567303238
21ur-7333	0	0	0	0	0	0	NA	NA
amx-2	11.41625207	17.38789367	11.86938399	8.047384118	9.624502591	10.96967654	-0.388030335	0.713820592
K01A6.16	0	0	0	0	0	0	NA	NA
21ur-1283	0	0	0	0	0	0	NA	NA
21ur-11762	0	0	0	0	0	0	NA	NA
21ur-10836	0	0	0	0	0	0	NA	NA
21ur-14007	0	0	0	0	0	0	NA	NA
srg-68	0	0	0	0.027801965	0	0	Inf	1
21ur-15469	0	0	0	0	0	0	NA	NA
21ur-99	0	0	0	0	0	0	NA	NA
21ur-6139	0	0	0	0	0	0	NA	NA
linc-45	1.039450496	1.07939232	0.724169266	0.633630397	0.460669729	0.622520879	-0.610974784	0.78486006
pde-5	0.018970111	0.00943913	0.012665512	0	0	0	#NAME?	0.815679823
R01E6.12	0	0	0	0	0	0	NA	NA
T26A8.3	0	0.048802312	0.065483391	0	0	0	#NAME?	1
ech-1.2	37.17373542	41.39754362	44.51612764	27.87043754	32.23616775	32.41590944	-0.300578314	0.792796139
21ur-2970	0	0	0	0	0	0	NA	NA
Y53C12A.10	10.22541233	13.67478014	17.60559816	11.05387265	12.24483562	17.3540884	0.076287394	1
Y17D7B.13	0	0	0	0	0	0	NA	NA
Y57A10A.41	0	0	0	0.18234254	0.324057326	0	Inf	0.791801425
R03D7.14	0	0	0	0	0	0	NA	NA
clec-99	0.395990622	0.363759967	0.386409702	0.15529908	0.275995961	0.279723038	-0.581338616	0.889550277
21ur-7474	0	0	0	0	0	0	NA	NA
21ur-11959	0	0	0	0	0	0	NA	NA
K09E9.11	0	0	0	0	0	0	NA	NA
F21D5.9	0.594804772	0.665915424	0.62050794	0.473829182	0.631563338	0.554746428	-0.066773317	1
R06B10.7	0	0	0	0	0	0	NA	NA
cyp-44A1	1.580481251	1.994122241	1.922004349	2.032437092	1.662171592	3.855182872	0.564611021	0.682055315
nlp-4	11.46119537	9.897510062	8.474268436	6.398641203	6.812232493	5.00148624	-0.596201122	0.435190083
fbxa-165	0.016006031	0	0	0	0	0	#NAME?	1
21ur-12458	0	0	0	0	0	0	NA	NA
21ur-1904	0	0	0	0	0	0	NA	NA
F19B6.9	0	0	0	0	0.182125242	0	Inf	1
F12A10.8	1.073500393	2.419391348	2.729894932	1.207290793	1.072792519	2.935654967	-0.150011764	1
nhr-221	0	0	0	0.023071264	0	0.041555713	Inf	0.791801425
eol-1	0.043625271	0.043414044	0.029126682	0.333623576	0.321160915	0.150229802	2.91664477	0.013474487
aff-1	0.246113076	0.093303404	0.054772972	0.328628646	0.199103018	0.121075035	0.835101846	0.709329013
21ur-5944	0	0	0	0	0	0	NA	NA
21ur-4354	0	0	0	0	0	0	NA	NA
ztf-18	2.998438758	2.645375687	1.922694259	1.431896609	1.442623624	1.661895699	-0.624451211	0.399945522
Y18H1A.8	2.354359532	1.773050882	0.424838565	0.811032772	1.297223346	0.146082354	-0.881948841	0.866084416
Y105C5B.t4	0	0	0	0	0	0	NA	NA
F38B6.4	2.104137116	1.797835185	1.461601367	0.442467128	0.92275545	0.504203642	-1.405474787	0.002867797
C04C11.9	0	0	0	0	0	0	NA	NA
mel-11	3.073405983	3.425014964	2.919263526	1.851971606	2.153757375	3.151285889	-0.285863849	0.882190902
21ur-7751	0	0	0	0	0	0	NA	NA
21ur-2516	0	0	0	0	0	0	NA	NA
irld-26	0	0.019061291	0	0	0	0	#NAME?	1
21ur-15701	0	0	0	0	0	0	NA	NA
21ur-7910	0	0	0	0	0	0	NA	NA
F08G5.21	0	0	0	0	0	0	NA	NA
lrp-2	0.156535625	0.182684762	0.175770144	0.163241418	0.093480212	0.213987548	-0.020337334	1
21ur-1776	0	0	0	0	0	0	NA	NA
21ur-14370	0	0	0	0	0	0	NA	NA
F08F3.10	0.330842367	0.395088577	0.375511217	0.12650559	0.337236691	0.265837265	-0.482981075	0.966516206
21ur-5899	0	0	0	0	0	0	NA	NA
F46H6.8	0	0	0	0.163207829	0	0	Inf	1
C08C3.8	0	0	0	0	0	0	NA	NA
mir-2207	0	0	0	0	0	0	NA	NA
21ur-5021	0	0	0	0	0	0	NA	NA
21ur-12855	0	0	0	0	0	0	NA	NA
clec-194	0.066486591	0.154384238	0.13317055	0.056495018	0.050201188	0	-1.595226828	0.61125694
E02C12.6	0.477437045	0.278521768	0.197853389	0.062951591	0.223753868	0.018897955	-1.521263771	0.398394425
21ur-6028	0	0	0	0	0	0	NA	NA
21ur-8122	0	0	0	0	0	0	NA	NA
his-6	2.52357864	2.461132672	2.358836023	9.263533442	8.460182753	7.183981822	1.877147187	2.88E-05
Y37B11A.t2	0	0	0	0	0	0	NA	NA
vit-1	9.052702403	26.14998116	62.81630969	9.145694396	10.76149556	114.6001458	0.534848972	1
Y95D11A.3	3.535287009	4.423581028	5.883534985	4.936730058	4.386753468	8.265368851	0.449418807	0.765118087
dpf-6	0.613117727	0.576251935	0.485157735	0.75252477	1.093050505	0.390992178	0.537964065	0.74808349
K10D6.8	0	0	0	0	0	0	NA	NA
21ur-3697	0	0	0	0	0	0	NA	NA
pif-1	8.009195528	9.628262849	9.411404443	8.922112027	8.27284572	12.17232621	0.229097607	0.933898201
K03B4.2	82.28838434	103.8548758	159.8681588	87.25674218	71.1566937	98.66234467	-0.322785779	0.778701071
nstp-5	21.25518596	35.71105284	29.77767724	18.67496404	20.01913628	22.50983455	-0.386413391	0.668814383
F12D9.8	0	0	0	0	0	0	NA	NA
haf-2	7.781164557	7.174507386	6.650498278	17.66060535	18.38453133	16.14090473	1.386100742	0.000656653
C18A3.17	0	0	0	0	0	0	NA	NA
H05G16.2	0	0	0	0	0	0	NA	NA
mes-1	0.057204595	0.220594527	0.424897143	0.109367811	0.089085046	0.279072183	-0.462143539	0.971967424
21ur-12013	0	0	0	0	0	0	NA	NA
F40G9.22	0	0	0	0	0	0	NA	NA
K10C9.1	7.53514699	6.616467349	5.504382742	3.954651251	3.714887939	3.866812383	-0.655054432	0.482741904
F58B4.3	6.940026817	6.982319073	7.89231349	5.92948445	5.528036743	5.602687911	-0.243282576	0.930569424
H06I04.13	0	0	0	0	0	0	NA	NA
B0399.t14	0	0	0	0	0	0	NA	NA
scl-5	2.31589657	1.481582162	2.694845201	2.656617396	2.060890891	3.683744962	0.47053188	0.71150893
dhhc-8	4.380226772	4.636012885	3.902574259	3.080893559	3.102688702	3.649067038	-0.280520234	0.886557332
21ur-1464	0	0	0	0	0	0	NA	NA
21ur-516	0	0	0	0	0	0	NA	NA
21ur-13281	0	0	0	0	0	0	NA	NA
21ur-15086	0	0	0	0	0	0	NA	NA
C08E8.12	0	0	0	0	0	0	NA	NA
C01G5.4	0.405251603	0.428495028	0.372032013	0.524596595	0.466153892	0.356153772	0.277721122	0.935261979
21ur-7480	0	0	0	0	0	0	NA	NA
T04B2.7	0.638849419	0.710551059	0.451621866	1.125601824	0.87251848	0.905869377	0.80937341	0.302713917
nhr-55	11.71415515	11.04218344	12.61140778	6.241835434	6.817911983	3.13750523	-1.01004429	0.025943584
col-10	610.7588977	455.7871284	180.4691182	782.5544329	848.7894405	639.5183368	0.985189746	0.039852607
W09G10.9	17.02056732	12.17429992	24.8585027	13.55880429	11.44587095	17.40065572	-0.251302363	0.90210512
21ur-8652	0	0	0	0	0	0	NA	NA
21ur-474	0	0	0	0	0	0	NA	NA
21ur-5892	0	0	0	0	0	0	NA	NA
21ur-5488	0	0	0	0	0	0	NA	NA
21ur-11607	0	0	0	0	0	0	NA	NA
slr-2	9.249770516	12.10632893	9.648603584	12.72526	11.04629182	14.99951154	0.437630401	0.606695282
ZK180.18	0	0	0	0.57897084	0.171490191	0.347612024	Inf	0.357727064
kgb-1	10.6283322	11.12243391	11.34663041	10.66152015	11.53677233	10.06859856	0.07672606	1
21ur-7717	0	0	0	0	0	0	NA	NA
zyg-1	1.643074568	1.946570309	1.795699074	1.296428812	1.716923246	2.413699236	0.120299679	1
ubxn-2	104.4574213	115.5679287	110.4927341	101.7703167	100.9850509	114.2948334	0.052532533	1
Y105E8A.47	0	0.140431144	0	0	0	0	#NAME?	1
taf-4	10.12118778	11.16213194	9.497466109	7.383596954	7.397969019	10.02745702	-0.199181057	0.971967424
F46F3.12	0	0	0	0	0	0	NA	NA
21ur-11584	0	0	0	0	0	0	NA	NA
str-198	0	0	0	0	0	0	NA	NA
F17C11.6	22.36094189	27.35802532	24.23704014	19.7586769	16.29433411	18.75469656	-0.316874011	0.791801425
Y73B6BL.44	0.198369829	0.22561069	0.586532587	1.37255109	0.994971094	1.919226767	2.179955894	0.001769025
21ur-6114	0	0	0	0	0	0	NA	NA
21ur-2121	0	0	0	0	0	0	NA	NA
21ur-10729	0	0	0	0	0	0	NA	NA
pals-15	0	0	0	0	0.022060241	0	Inf	1
W10C8.14	0	0	0	0	0	0	NA	NA
21ur-12155	0	0	0	0	0	0	NA	NA
asns-1	17.14872263	16.06842657	6.255799179	8.046855589	9.689920686	7.635184748	-0.515294027	0.815679823
T08G2.2	0.935811267	0.620853478	0.358681582	0.971884217	1.099141809	0.39785169	0.488086422	0.823175992
C56G2.18	0	0	0	0.176264456	0	0	Inf	1
21ur-3706	0	0	0	0	0	0	NA	NA
Y37E3.23	0	0	0	0	0	0	NA	NA
T23F1.t2	0	0	0	0	0	0	NA	NA
ZK675.6	0	0	0	0	0	0	NA	NA
acs-2	29.72498411	31.85994707	17.65338072	42.20095694	33.24859579	36.72370342	0.621932421	0.253696802
irld-49	0	0	0	0	0	0.036746024	Inf	0.971967424
E02H1.6	9.672890716	7.257143859	7.366344751	8.04266779	7.78859093	7.980513563	0.081282694	1
C01G5.9	0.291482198	0.354531084	0.345973139	0.371517588	0.293447696	0.315998596	0.098972936	1
21ur-9503	0	0	0	0	0	0	NA	NA
ZK899.1	13.91457645	17.83995641	20.54662662	16.59279599	15.66277077	14.94338314	-0.035100528	1
21ur-433	0	0	0	0	0	0	NA	NA
cyb-1	223.3302961	280.6434942	304.604948	148.6074914	144.7724613	147.4729607	-0.7622447	0.125023123
twk-9	0.060761032	0.169307143	0.05679447	0.061955872	0.13763419	0.139492816	0.371274115	0.971967424
F11E6.21	0	0	0	0	0	0	NA	NA
Y39A3CL.9	0	0	0	0	0	0	NA	NA
21ur-13765	0	0	0	0	0	0	NA	NA
tag-307	7.015401471	12.09713995	15.14184098	6.475020824	6.32447158	9.74208877	-0.495965033	0.635189253
B0250.19	0.331901063	0	0.110797898	0.211517347	0	0	-0.956342047	1
sre-48	0	0.018497651	0	0.236914591	0.231573224	0.362718819	5.655993389	1.68E-05
21ur-14963	0	0	0	0	0	0	NA	NA
Y105C5A.1285	0.300635021	0.299179393	0	0	0	0	#NAME?	1
21ur-14204	0	0	0	0	0	0	NA	NA
linc-53	0.324122132	0.430070378	1.370546912	0.275413212	0.611826983	0.496071325	-0.524537216	0.966516206
F26D11.18	0	0	0	0	0	0	NA	NA
21ur-6811	0	0	0	0	0	0	NA	NA
chil-27	0	0.03373101	0	0	0	0	#NAME?	1
21ur-10823	0	0	0	0	0	0	NA	NA
R07B7.9	0.399468267	0.411731751	0.200030593	0.254577274	0.226216084	0.278400414	-0.294310782	1
21ur-8461	0	0	0	0	0	0	NA	NA
ttr-43	4.369646514	2.628207864	2.660944883	1.958493953	1.196461656	1.102380723	-1.068686052	0.138109003
21ur-31	0	0	0	0	0	0	NA	NA
21ur-6720	0	0	0	0	0	0	NA	NA
srw-23	0	0	0	0	0	0	NA	NA
21ur-13324	0	0	0	0	0	0	NA	NA
21ur-5328	0	0	0	0	0	0	NA	NA
21ur-8625	0	0	0	0	0	0	NA	NA
21ur-2439	0	0	0	0	0	0	NA	NA
K01A2.4	0.032667427	0.032509257	0.087242439	0	0.036998671	0.07499661	-0.362688628	1
21ur-11829	0	0	0	0	0	0	NA	NA
C31G12.12	0	0	0	0	0	0	NA	NA
21ur-10694	0	0.983018006	2.638045185	0	3.356308023	0	0.00088575	1
21ur-886	0	0	0	0	0	0	NA	NA
21ur-14889	0	0	0	0	0	0	NA	NA
dnj-14	12.39530659	11.85963659	7.55246807	15.27083764	13.20869609	12.36292041	0.479617307	0.500086788
ZK328.11	0	0	0	0	0	0	NA	NA
F26A1.1	5.641519267	8.893296474	12.54976189	9.608640008	8.679549868	17.07774787	0.488143077	0.820095904
21ur-6768	0	0	0	0	0	0	NA	NA
gop-2	29.42591936	24.21924419	25.46899242	19.23560142	17.66461367	23.52158419	-0.280642016	0.859825277
K08F8.9	0	0	0	0	0	0	NA	NA
sta-2	0.30434003	0.448242365	0.422644563	0.698230679	0.579081314	0.712665848	0.874825469	0.275851356
21ur-3861	0	0	0	0	0	0	NA	NA
21ur-12659	0	0	0	0	0	0	NA	NA
Y65B4BR.1	0.914630354	1.729383529	2.076239266	0.512938892	0.476512867	1.175872771	-1.020501008	0.323269579
21ur-6843	0	0	0	0	0	0	NA	NA
sod-2	264.5615265	221.3118916	219.9737542	196.2331542	194.6205098	200.9669852	-0.14309308	1
T11F9.26	0	0	0	0	0	0	NA	NA
str-264	0	0	0	0.028707566	0	0	Inf	1
clec-179	0	0.021707022	0	0	0	0	#NAME?	1
Y75B8A.52	0	0	0	0	0	0	NA	NA
21ur-1562	0	0	0	0	0	0	NA	NA
gst-11	0.677902497	0.3373101	0.565757239	0.302414507	0.268724008	0.194537775	-0.93926786	0.554431955
K03D3.5	0	0.128619178	0.172582395	0.082366568	0.073190518	0.370894449	0.904349424	1
F09G8.12	0	0	0	0	0	0	NA	NA
fipr-28	0.192072374	0.31857065	0.256476615	0	0.217538483	0	-1.689954556	0.740347633
21ur-7566	0	0	0	0	0	0	NA	NA
21ur-14327	0	0	0	0	0	0	NA	NA
21ur-13790	0	0	0	0	0	0	NA	NA
21ur-10188	0	0	0	0	0	0	NA	NA
Y66A7AL.4	0	0	0	0	0	0	NA	NA
21ur-9910	0	0	0	0	0	0	NA	NA
str-109	0.042551418	0	0	0	0.02409657	0.024421973	0.271300222	1
Y38H8A.11	0	0	0	0	0	0	NA	NA
21ur-3655	0	0	0	0	0	0	NA	NA
21ur-11233	0	0	0	0	0	0	NA	NA
21ur-5878	0	0	0	0	0	0	NA	NA
F38A6.7	0	0	0	0	0	0	NA	NA
F11D5.14	0	0	0	0	0	0	NA	NA
F25G6.19	0	0	0	0	0	0	NA	NA
gon-14	1.728651368	2.207440877	2.578951805	1.823089227	1.97517242	3.468109266	0.262655589	0.944179474
21ur-15621	0	0	0	0	0	0	NA	NA
C08G9.8	0	0	0	0	0	0	NA	NA
21ur-9672	0	0	0	0	0	0	NA	NA
R05H5.7	0.881273247	1.14685434	0.950472162	0.950445595	1.036506889	0.855966209	0.050801387	1
Y9C9A.13	0	0	0	0	0	0	NA	NA
C56C10.6	0.245198776	0.374151061	0.29467526	0.70839143	0.555417403	0.450334253	1.029504999	0.242393678
21ur-9730	0	0	0	0	0	0	NA	NA
21ur-15166	0	0	0	0	0	0	NA	NA
cas-2	15.54482136	15.10617695	16.64754667	11.85685044	10.57532427	14.72995024	-0.239502331	0.898188509
21ur-2671	0	0	0	0	0	0	NA	NA
csa-1	0.134078222	0.19061291	0.268554461	0.390613752	0.52064612	0.571650059	1.428411268	0.112507206
21ur-9836	0	0	0	0	0	0	NA	NA
iars-1	10.29319554	12.03293232	12.0144247	10.31039023	10.36184178	11.38444597	0.013274333	1
F32A6.9	0	0	0	0	0	0	NA	NA
21ur-12480	0	0	0	0	0	0	NA	NA
srj-5	0.020827125	0	0	0	0.02358851	0	0.281611628	1
