Name	Control_P0_1	Control_P0_2	Control_P0_3	Heat_P0_1	Heat_P0_2	Heat_P0_3	Fc
B0250.19	0.331901063	0	0.110797898	0.211517347	0	0	2.092817024
Y105C5A.1285	0.300635021	0.299179393	0	0	0	0	19994.14713
chil-27	0	0.03373101	0	0	0	0	1125.033667
ttr-43	4.369646514	2.628207864	2.660944883	1.958493953	1.196461656	1.102380723	2.268742356
Y65B4BR.1	0.914630354	1.729383529	2.076239266	0.512938892	0.476512867	1.175872771	2.179928728
clec-179	0	0.021707022	0	0	0	0	724.2340667
gst-11	0.677902497	0.3373101	0.565757239	0.302414507	0.268724008	0.194537775	2.064801871
fipr-28	0.192072374	0.31857065	0.256476615	0	0.217538483	0	3.526038739
C09G12.19	0.100211674	0.099726464	0	0	0	0	6664.937933
F09F9.5	0.06286005	0.031277846	0.062953351	0.040060104	0	0	3.91943212
T10B10.4	7.179625195	10.57343758	11.98380282	4.299133067	5.048105562	3.484598579	2.317428527
scl-25	0	0	0.02167408	0	0	0	723.136
smy-5	0.269400213	0	0	0	0	0	8980.673767
glo-2	2.259227531	2.52080855	3.245317963	0.785336684	1.085538568	1.414540017	2.442721357
tsp-20	0.938410743	1.892309662	1.962046106	0.660991709	0.615323137	0.510244792	2.682679273
T01C8.3	1.860556493	2.929314701	4.171607597	0.672494912	0.912089061	0.860653866	3.664869997
F09E5.9	0	0.083916171	0	0	0	0	2797.872367
bbs-5	0.916853764	0.703319513	0.956473565	0.292151032	0.562475193	0.416590284	2.026914238
C32C4.1	0.821408193	1.154783566	0.713814238	0.33236541	0.369172787	0.478922411	2.278776588
Y7A5A.2	0.524556277	0.5694725	0.318384764	0.060780847	0.108019109	0.10947781	5.075552967
Y37E11AR.7	1.785796868	1.791367524	1.363989272	0.72836552	1.051735641	0.524769667	2.143787671
srh-27	0.077042958	0.038334964	0	0	0	0.022109028	5.214324009
F53H8.3	14.29018464	11.25124469	7.572809533	2.458425304	2.706636704	2.8963603	4.107741488
hot-4	0.709190305	0.952771298	0.781267228	0.497156157	0.160643803	0.325626306	2.484404694
npax-3	0.268528368	0.167017622	0.156874046	0	0	0	19747.33453
srh-166	0	0.020540675	0	0	0	0	685.3558333
F46A8.8	0	0.029034287	0.038958473	0	0	0.033490047	2.029324519
C50F2.1	0	0.011946399	0	0	0	0	398.8799667
lgc-24	0.141838061	0.158795216	0.059186911	0.022598007	0.020080475	0.020351644	5.708701709
str-174	0	0	0.015667124	0	0	0	522.9041333
C08D8.7	1.009998552	1.082424321	1.14117685	0.495124876	0.263979283	0.445906809	2.683460822
21ur-4789	0	0	0.659511296	0	0	0	21984.37653
21ur-162	0	0.983018006	0.659511296	0	0	0	54751.31007
gst-34	0.031573541	0.125682667	0.210802697	0	0	0.072485308	5.076302896
T08B6.4	13.45722268	14.4264114	9.627612688	4.406611394	5.229184546	2.775487669	3.022350302
srw-79	0	0	0.013190226	0	0	0	440.3408667
dmsr-3	0.825350786	0.894363862	1.114346673	0.490922224	0.498549733	0.421068499	2.009202437
F32G8.9	0	0	0.109053049	0	0	0	3635.7683
F22F7.2	1.651005089	1.691813495	1.506117996	0.70839143	0.814612191	0.825612797	2.064592814
Y39A1A.30	0.151414718	0	0	0	0	0	5047.823933
T27A8.5	0	0	0.00812778	0	0	0	271.5926667
K10H10.12	1.422152899	2.147301744	2.35740208	1.187597397	0.610959144	0.956960287	2.150905653
acox-1.5	4.724980406	6.161735593	6.715024107	2.563846629	2.254489732	1.900103501	2.619914812
F39B3.4	0	0.442358103	0	0	0	0	14745.93677
M163.5	0	0	0.008229196	0	0	0	274.9732
ccpp-6	0.105222257	0.149589697	0.210756871	0.0957959	0.051074253	0.03450931	2.56682216
msp-32	0.921947396	1.376225209	1.384973722	0.440661139	0.783138539	0.529142747	2.101122247
Y66H1A.8	0.894130018	0.711840625	1.552125723	0.455856351	0.810143316	0	2.494527845
psa-3	3.056983472	2.48341391	1.707787146	0.834936896	0.989227628	0.716133041	2.853281689
T20B5.2	3.558562649	8.781353318	5.640339287	1.843770458	2.424780412	2.258266117	2.754827551
M153.4	2.985852363	2.710746623	2.06347095	0.867968911	1.127244866	1.082337437	2.521507977
M01E10.3	0	0	0.031620405	0	0	0	1054.680167
B0545.4	4.746466469	3.265619139	3.599366735	1.419078246	0.929147419	1.681597713	2.881379965
srh-80	0.01862102	0.01853086	0	0	0	0	1238.729333
K07C11.11	0	0.244300333	0	0	0	0	8144.0111
C44C1.1	65.32149273	60.77067725	53.18366735	14.30131024	14.6874334	8.053436316	4.839775562
cyp-13A2	1.71525097	1.440235683	0.984154454	0.409917339	0.682969656	0.169202623	3.279989826
aat-8	1.814369618	1.450154662	0.60091835	0.509855864	0.436874805	0.262384833	3.196917601
C15F1.1	15.45948378	24.50352201	23.98369128	9.243136095	7.003677987	11.7443878	2.284528451
F55G11.6	0	0.020179255	0	0	0	0	673.3085
F42E11.5	0	0.231948069	0	0	0	0	7732.268967
ZK757.10	0.223051789	0.266366169	0.297843811	0.056859502	0.101050134	0.051207363	3.764695232
C23G10.12	0	0.104788721	0	0	0	0	3493.624033
21ur-10048	0.987800782	0	0	0	0	0	32927.3594
Y73B6BL.22	0.521857017	0.519330267	0.696842124	0.332574445	0.369404971	0.149757381	2.040571
nspb-11	51.6461273	82.06379947	37.73055984	22.08745958	24.36431009	22.43957205	2.488563618
21ur-13107	0	0	0.659511296	0	0	0	21984.37653
tos-1	129.0928094	150.7975434	249.426595	118.7374458	67.87771885	67.54385592	2.082621135
Y32H12A.1	0.037075633	0.184480591	0.04950755	0.047255886	0.020995671	0.042558398	2.44620417
srh-95	0.038955524	0	0	0	0	0	1299.184133
C54F6.12	0.105835798	0.17553893	0.117769874	0	0	0.040495618	9.851623194
ric-7	14.10045913	17.45726189	15.67558682	6.971230887	7.614826176	8.177041938	2.074994615
ZC328.5	0.03601357	0.107517594	0.048089365	0.045902202	0.040788466	0	2.210139015
tmem-218	0.598902836	0.325092569	0.436212196	0.27758182	0.123328904	0.12499435	2.586412773
Y47D3A.34	0.139890862	0.15910118	0.200140711	0.101886969	0.045268124	0.091758858	2.089173742
ins-24	4.055682056	3.705221715	4.483408523	2.11856317	1.882544564	1.450054644	2.246183739
acr-2	0.360135702	0.238927988	0.15228299	0.07650367	0.176750017	0.055119036	2.436488781
C34F11.13	0	0	0.104922252	0	0	0	3498.075067
pept-2	2.797512138	3.046605424	2.349404109	1.020360399	1.056141032	1.090599555	2.58707307
grk-2	0.478553204	0.485955229	0.365153147	0.211616931	0.232286855	0.213002377	2.02412712
srh-241	0	0	0.027479637	0	0	0	916.6545667
lron-5	0.284161869	0.471310003	0.463765934	0.160972106	0.154958919	0.1570515	2.577765016
C50H11.13	0.059099192	0.078417391	0.052610588	0	0.044623279	0	4.258808386
F40F9.5	7.032602153	3.945492066	3.757863853	2.060429218	2.164990499	1.300282519	2.666802778
plep-1	3.570102173	3.014000559	1.310415593	0.129394788	0.134142817	0.271908589	14.74381257
elt-4	1.586958633	2.481717589	1.210905987	1.300311559	0.128383367	1.040936552	2.137801634
F53H10.4	0	0.154055061	0	0	0	0	5135.835367
nhr-13	2.186154979	2.257358306	2.480222355	0.73327131	0.91221367	1.264156405	2.379583847
fbxc-17	0	0	0.041466279	0	0	0	1382.875967
W02H5.16	0	0	0.020640443	0	0	0	688.6814333
clec-175	1.698324151	1.77460619	1.465966337	0.479315625	0.824356356	0.48736832	2.757557535
arrd-15	0.114712349	0.095130775	0.191471021	0	0.0649608	0.043892025	3.686420456
F07C4.11	0.081668569	0.189637332	0.236281606	0.034697728	0.030832226	0.093745762	3.186848063
mct-4	23.24226408	24.03472221	13.6132627	8.85795996	8.174708695	7.208257451	2.511878
srt-67	0	0	0.015579007	0	0	0	519.9669
F35C5.3	0.01750533	0.017420572	0.023375084	0	0	0	1943.3662
C33H5.2	0	0	0.009087754	0	0	0	303.5918
Y105E8B.15	0.85541511	0.425636662	0.571123184	0	0.484415591	0.245478594	2.53755903
T13H5.1	0.8079478	0.852471739	0.812396599	0.272957627	0.352798215	0.424605395	2.354253043
T10D4.14	0	0	0.038471492	0	0	0	1283.049733
ZK622.5	4.496382794	4.361806672	7.845661704	1.589269683	1.754572682	2.775830805	2.729533213
F32F2.3	0.484291434	0.321297714	0.592790309	0.205756174	0.27425085	0.092651454	2.441908242
R53.10	0	0	0.130657898	0	0	0	4355.929933
F25B4.12	0.839345173	0	0.640450276	0.152830453	0.135804371	0.275276574	2.624180774
Y51H7C.33	0.225476265	0	0.150540622	0	0	0	12534.22957
Y41D4B.24	0.49027765	0.53837661	0.451499176	0.064644666	0.134033491	0.135843493	4.424686522
C46H11.2	0.507183776	1.127226027	0.74497364	0.258578664	0.306362264	0.407530478	2.44673872
21ur-14159	2.963402346	2.949054018	0.659511296	0	0	0	219065.5887
cutl-25	0.304529257	0.37436178	0.119600494	0.06849655	0.040577126	0.061687626	4.676068416
T03G11.10	0.100502987	0.12001964	0.13420288	0	0.091062621	0.069219255	2.212997414
Y69A2AL.2	27.17702531	41.1996534	69.80384435	22.42351621	19.52889773	13.81464451	2.47781624
Y77E11A.12	14.0368088	13.65100986	7.431306268	4.172541967	5.20886603	4.545983878	2.521586615
C14F11.14	0	0	0.376863598	0	0	0.161982474	2.326406435
Y39A1A.17	0.017913486	0	0	0	0	0	597.7828667
C32B5.15	0	0	0.025863188	0	0	0	862.7729333
srv-9	0	0.020479542	0	0	0	0	683.3180667
F58G11.9	0	0	0.092331581	0	0	0	3078.386033
linc-32	0.158349744	0.315166078	0.317169555	0	0.358689407	0	2.204250464
C11H1.7	1.497548244	1.324708757	0.703596276	0.212082901	0.188455798	0.573002173	3.621679765
frpr-14	1.08658086	0.786414405	0.989266944	0.453251458	0.42513235	0.272130556	2.487810929
D1005.6	0.320120624	0.50971304	0.34196882	0.081603915	0.072512828	0.220476145	3.128202701
ocam-1	0.153657899	0.101942608	0.102590646	0	0	0	11939.7051
K06A4.2	0.95854128	0.538097534	0.508698879	0.219286349	0.278366779	0.084637762	3.443876123
W10G11.4	0.128048249	0.12742826	0.598445435	0	0.048341885	0.146984096	4.371554793
dct-12	0.066915537	0	0.029784381	0	0.025262534	0	3.825167129
fbxa-94	0.382063791	0.223655234	0.285097516	0.085936084	0.152724742	0.20638287	2.001638376
K06A9.1	0.694502163	0.857618348	0.426458184	0.316604044	0.287074244	0.250217795	2.317118833
T21C9.14	0	0.150681592	0	0	0	0	5023.3864
scrm-2	0.623874178	0.569115688	0.81571134	0.198794499	0.176647791	0.149194384	3.828747218
sek-5	0.076616127	0	0	0	0	0.021986541	3.48242493
abu-7	21.87787472	37.11732681	9.706383792	7.428000983	7.991937706	9.528185458	2.753777595
D2021.6	0.804023892	0	0	0	0	0.184584679	4.355490318
K04H4.11	0.633398975	0.315166078	0.21144637	0.20182953	0.179344703	0.181766593	2.060627635
sre-39	0	0.019061291	0	0	0	0	636.0430333
nsy-7	0.817253486	1.387388101	1.299917398	0.398280056	0.435581111	0.910517937	2.00905811
nspa-10	0	0.196603601	0.131902259	0	0	0	10950.52867
R193.2	0.542822031	0.670710389	0.732133984	0.264675289	0.342468381	0.238365147	2.301178137
nhr-38	0.025546572	0	0.017056327	0	0	0	1420.429967
glc-4	0.662477171	0.535656518	0.479165892	0.211095157	0.171946585	0.063370389	3.757289429
F25G6.13	0.595516261	0.493860721	0.331333426	0.253011181	0.224824461	0.113930257	2.400798036
C18B2.2	0.038737286	0.077099451	0.012931594	0	0.021936654	0	5.864660936
F01E11.17	0.162696599	0.053969616	0.072416927	0.034561658	0.06142263	0.031126044	2.274269428
clec-68	0.074671765	0.163482476	0.059826079	0.038070077	0	0.034285707	4.117696286
B0252.1	0.204877199	0.331313476	0.205181292	0.05440261	0.077347016	0.01959788	4.898474951
phf-32	0	0	0.022088895	0	0	0	736.9631667
Y67D2.t2	0.852485606	0.282786002	0.379444855	0	0	0	50490.54877
K12D12.6	0	0	0.145786708	0	0	0	4860.2236
F13H6.9	0	0	0.025839062	0	0	0	861.9687333
cyp-33C3	0.220825724	0.247226085	0.331730233	0	0.062526031	0.079212986	5.642240482
ZK1248.20	1.638721528	1.829663572	1.360956837	0.305660906	0.99589872	0.688191434	2.427108614
Y71H2AM.14	0.115371615	0.137775605	0.123245715	0.029410087	0.078400966	0.026486567	2.802677627
C17H1.2	0.093440614	0	0.062386204	0	0	0	5194.5606
F41D9.2	54.8720446	76.054551	63.66019565	29.7381845	25.60084462	19.72681294	2.59221486
R09H10.5	3.828184781	4.91690819	4.232338522	2.298392873	2.051996787	1.810568586	2.106398222
srbc-10	0	0.023013799	0	0	0	0	767.7933
Y53F4B.17	0.081109742	0.060537766	0.067691775	0.025845228	0.068897819	0	2.209314525
K10G4.5	0	0.009150434	0	0	0	0	305.6811333
msrp-5	66.07289674	66.92532218	78.92640372	32.24986709	34.51610596	22.4003763	2.376733198
F44B9.10	2.871319222	1.807753452	1.682312713	0.672194958	0.7300444	0.403583451	3.522707408
R07B1.9	1.085171546	1.320890602	0.508961376	0.40008145	0.477399628	0.514730299	2.093808147
Y25C1A.t1	0	0.290751805	0	0	0	0	9692.3935
str-89	0.038955524	0.019383454	0.052017792	0	0.022060241	0.022358144	2.48392486
srw-142	0	0	0.012752981	0	0	0	425.7660333
ceh-7	0	0	0.054312695	0	0	0	1811.089833
C26C6.9	5.899617514	7.764940397	7.814301276	3.234210198	3.915692693	2.83989456	2.150079548
F58D5.10	0.220678898	0.439220811	0	0.281273068	0	0	2.34598639
21ur-12587	0	0.983018006	0	0	0	0	32767.93353
F10A3.4	3.602873378	3.633717437	3.353094274	1.747182763	1.923498165	1.531729005	2.035534536
srx-130	0	0.032054935	0	0	0	0	1069.1645
ugt-48	3.240811294	3.91714955	2.277629144	0.719105465	1.263126675	0.858476373	3.321562189
pqn-2	13.86167388	18.17198779	6.437201807	5.337585632	7.040893434	6.036698946	2.089084529
ZC239.17	0.363926604	0.206951159	0.104133363	0.132529666	0.058882597	0	3.526293731
C49G7.12	0.3870115	0.333785965	0.671815611	0.197310958	0.175329524	0.20731339	2.401248001
T15D6.11	0	0	0.028235958	0	0	0	941.8652667
ZK994.6	0.55926956	0.556561665	1.0862539	0.453621761	0.403086013	0.175083997	2.134234045
C47E12.14	0	0	0.066906943	0	0	0	2230.8981
srx-131	0	0	0.014248701	0	0	0	475.6233667
C27A2.8	0.734676831	1.032168906	1.356120103	0.550826424	0.587353904	0.19842853	2.336484471
mir-1822	0.864325684	0	0.577072384	0	0	0	48046.9356
arrd-23	0.264153468	0.324727296	0.342353055	0.11882997	0.070394475	0.178362724	2.533368674
K04F10.2	0.024304413	0.024186735	0.016226991	0	0.027526838	0	2.3493854
oac-21	0	0.010149153	0	0	0	0	338.9717667
twk-12	0.070660202	0.20090879	0.107832504	0.038598056	0.057163397	0.04634827	2.669778591
F41C6.10	0	0.139482285	0	0	0	0	4650.076167
W05E10.17	0	0	0.094215899	0	0	0	3141.196633
sru-48	0	0.020726283	0	0	0	0	691.5427667
hot-7	0.982402963	0.67683207	0.933406698	0.192638749	0.29956119	0.216861782	3.65644013
folt-1	2.223639645	2.34928312	1.972723216	0.446484855	0.293245708	0.262240348	6.532770472
clec-143	0.155190647	0.120119407	0.161177324	0.043956223	0.039059279	0.039586739	3.560190861
grl-11	0.201886291	0.050227197	0.033697657	0	0	0	9527.038167
C17E7.13	0.800638528	1.303792303	0.437360123	0.309235887	0.192349816	0.139248091	3.966380952
srh-42	0	0.020120252	0	0	0	0	671.3417333
C04A2.15	0.846686384	0.631940147	0.329755648	0.539585069	0.079912096	0.24297371	2.096745793
srh-7	0.020579183	0	0	0	0	0	686.6394333
ZC449.8	5.64855095	12.11465853	11.50893656	3.475637156	2.647228863	4.248047407	2.822523421
C50A2.t2	1.152434245	0.57342717	0.192357461	0.367217616	0	0	5.223372532
C08F11.3	0.137898115	0.078417391	0.118373822	0.050217794	0.066934918	0.045225876	2.061166636
acc-4	0.676245034	0.824389184	0.530511532	0.301675108	0.363805189	0.232874559	2.260961508
sru-17	0	0	0.013947369	0	0	0	465.5789667
F09F9.4	0.137236445	0.084044288	0.084578548	0.026910604	0.059781568	0.036353319	2.485741481
erv-46	15.08146233	12.49800321	8.942350016	5.459109129	6.865308973	4.603958548	2.157431649
ift-81	0.032462936	0.064611512	0.036123467	0.027584422	0.012255689	0.012421191	2.548691095
drn-1	0.911470721	1.720281511	1.028238066	0.360540932	0.320374857	0.541168719	2.994874965
T11F9.21	0	0.076741183	0.051486012	0	0	0	4274.573167
F31F4.1	4.486724338	3.517879044	2.139706593	1.064518483	1.495882602	1.203948385	2.694837463
tbx-41	0.033620448	0	0.0224469	0	0	0	1869.244933
srv-15	1.123311358	1.86312077	1.083312779	0.413616954	0.424082241	0.745002424	2.571391132
F41G3.18	11.57613725	7.113074112	5.550269223	3.366849155	4.399654711	1.605264514	2.586436156
Y43F8B.13	1.106336876	1.961120922	0.94639871	0.660991709	0.861452392	0.436542766	2.048945083
dmd-11	0.060127004	0	0.040144166	0	0	0	3342.705667
F48G7.8	4.332041983	5.554643914	5.673386331	2.336034956	2.736267183	1.625679524	2.32309866
Y7A5A.7	0.018006785	0	0.012022341	0	0	0	1001.3042
srh-258	0	0	0.013780833	0	0	0	460.0277667
cyp-34A8	6.610362832	8.216064495	7.681987578	2.873110629	2.412066699	4.682913312	2.258046773
sdf-9	0.039968818	0.019887648	0.040028142	0	0	0	3329.486933
mut-15	8.213080302	9.271221694	10.37593576	4.20118171	4.288493376	5.143767808	2.043521799
srx-36	0.022972111	0	0	0	0	0	766.4037
clec-7	0.562432024	0.954797394	1.236978125	0.484938096	0.393442806	0.417744274	2.124954899
clec-39	0.034062096	0	0.022741769	0.021707445	0	0	2.614843347
F55G11.10	0.039625246	0	0	0	0	0	1321.5082
ZC487.2	0.06192184	0.04108135	0.027561666	0	0	0.023692959	5.50605498
tag-68	3.257842963	2.878163297	2.35267972	1.228766639	1.204828521	1.030301984	2.450617217
F54F7.14	1.382921095	0.983018006	0.626535731	0.062951591	0.111876934	0.113387732	10.38274129
C55B6.1	2.416755311	1.904000895	2.252263092	0.449217666	0.551238292	0.886185669	3.483978729
srx-129	0.021951128	0.021844845	0.014655807	0	0	0.025197274	2.317926196
nspb-8	60.67566302	102.2707358	53.03295211	21.59239583	18.99110956	17.75935345	3.701898659
F09D12.2	0.060389567	0.075121463	0.090718803	0	0	0.051990008	4.349736555
srg-9	0	0	0.013699048	0	0	0	457.3016
F53F4.23	0.09219474	0	0	0	0	0	3073.824667
F13E9.8	0	0.064309589	0.021572799	0.041183284	0	0	2.084600538
C15C6.6	0.165950531	0.165147025	0.221595796	0	0	0	18423.11173
R02D5.9	0.220678898	0.146406937	0.098225087	0	0	0.084437672	5.509397915
T09B9.10	0	0.145375902	0	0	0	0	4846.530067
F56A11.4	0.232875314	0.12478726	0.287041186	0.182657467	0.020288563	0.10281271	2.10853747
fbxa-118	0.044182783	0.021984428	0.044248362	0	0	0.050716557	2.176252776
C06C3.13	2.183559623	3.259480757	4.373601228	0	0	1.253232822	7.832929985
F58H1.5	2.368892616	2.548565201	2.636009656	1.305662635	1.111863357	0.563439036	2.533900063
srxa-10	0.020579183	0.020479542	0.027479637	0	0	0.023622444	2.898954186
Y37E11AM.4	29.16706309	24.39671961	16.15802676	10.65598755	10.89274513	11.90571181	2.084082116
F11D11.4	0	0.110985904	0	0	0	0	3700.1968
linc-149	0.04151531	0.013771433	0	0.017638204	0	0	3.13150437
21ur-15291	0	0	0.659511296	0	0	0	21984.37653
F16G10.10	0	0	0.024297785	0	0	0	810.5928333
ZC334.13	2.397063231	1.192728514	1.723522854	1.292606009	0.417673887	0.317485648	2.620280542
F52C6.13	1.577829437	1.339279565	1.828041378	0.828088047	0.525596335	0.799041061	2.204252472
fax-1	0.119315296	0.152662616	0.125182506	0.043450564	0.077219905	0.058697018	2.214227476
math-7	0	0	0.01678756	0	0	0	560.252
H04D03.4	0.130464254	0.059922723	0.06700405	0.038373974	0.045465227	0.023039597	2.408251513
Y49F6B.19	0.064622481	0	0.086291198	0	0	0	5030.7893
nhr-114	213.7530641	183.1585067	200.1545285	46.87136352	61.29264677	46.69352021	3.855583241
F47E1.3	0.113727064	0.192399906	0.113895865	0.043486297	0.025761136	0.026109017	4.404765855
Y71H2AM.9	7.639523789	9.600280689	10.71306958	4.051239508	3.568332857	5.424779978	2.142910075
K09C4.6	0.134264184	0.133614098	0.156874046	0.08556527	0	0.077059623	2.611692486
F18E2.12	0.075984676	0	0	0	0	0	2533.4892
egas-4	0.046931711	0.046704475	0.036556622	0.019939418	0.0265771	0.017957333	2.019311798
F32D8.8	0	0	0.025790945	0	0	0	860.3648333
str-247	0.040084669	0.019945293	0.040144166	0	0	0	3339.1376
clec-227	4.090839887	3.890898495	2.199521967	1.453489622	1.517074656	1.163559968	2.462736905
lys-9	0	0	0.020609728	0	0	0	687.6576
fpn-1.2	2.068937071	1.598371797	1.590356964	0.27758182	0.292906146	0.171867231	7.082412642
mir-353	0.987800782	1.966036012	5.935601666	1.259031827	1.118769341	0	3.738496387
srb-11	0.019926817	0.019830334	0.026608525	0	0	0.022873606	2.89887386
Y59C2A.1	15.22732898	16.1214953	11.28271633	6.856881027	6.867522569	6.977706556	2.059284793
dcaf-1	5.132942942	6.563386349	4.237424007	2.357855515	2.558933469	2.778139309	2.070682493
F42F12.t1	0.246950195	0	0	0	0	0	8232.339833
B0554.4	0.080136156	0.045570371	0.045860057	0.029182857	0.03889761	0.013140962	2.112331513
grl-27	205.6107327	225.4060288	85.90134633	75.98257075	82.67705429	62.19317074	2.340554966
srsx-5	0.021951128	0	0	0	0	0	732.3709333
C31B8.7	3.348124755	2.201960334	1.613372897	0.166987379	0.296768288	0.183807481	11.06217673
Y54G2A.50	5.875154977	4.677366722	4.224320721	2.016096716	2.303348643	1.919439377	2.36850704
EEED8.13	1.331383662	1.923296099	1.892510676	0.383183599	0.729632179	1.33107337	2.106147262
T02G6.7	0.051409706	0	0.051486012	0	0	0	3430.1906
gcy-2	0.012358544	0.024597412	0.008251258	0.007875981	0.006998557	0	3.037192958
kap-1	0.190770819	0.189847137	0.11396202	0.089582613	0.045487234	0.092202996	2.176150786
hphd-1	798.1175948	763.288168	612.4595525	361.3988718	362.1427547	317.2301609	2.088705076
Y11D7A.3	5.580294948	11.04731713	12.10113338	4.419255903	4.162881328	4.167853202	2.253236629
21ur-10700	0.987800782	0	0	0	0	0	32927.3594
srab-23	0.022044438	0	0	0	0	0	735.4812667
K05B2.2	10.22704916	12.08041262	8.085461115	2.991079801	4.101633407	3.890972854	2.767096831
F54D12.2	0	0	0.016085641	0	0	0	536.8547
str-85	0	0.020179255	0	0	0	0	673.3085
Y73B6BL.36	0.279064795	0.339427742	0.186319335	0.118563535	0.14047328	0.035592561	2.7316077
R10H1.8	0	0	0.227044872	0	0	0	7568.829067
tbc-16	0.228581999	0.180084566	0.120819563	0.036418276	0.010787032	0.010932701	9.107400427
Y43C5A.7	32.06648288	57.97348691	41.72233338	10.24537149	12.92178589	20.04128155	3.049457616
C52G5.3	0.089800071	0	0.059955572	0	0	0	4992.1881
math-50	0	0	0.020889498	0	0	0	696.9832667
anr-10	0.465406138	0.132329347	0.177560734	0.084742527	0.075301783	0	4.843957148
C06E4.2	8.171806468	14.54419823	21.45660047	6.209316055	6.763469197	4.148960176	2.579912507
E03H4.8	4.759647128	7.403271108	5.267153902	1.910725808	1.76153113	1.419651273	3.423092368
fbxa-100	0.019926817	0	0	0	0	0	664.8939
npr-23	6.956896638	6.986342037	4.729522904	3.422872459	3.185242374	2.548623323	2.039237255
ZC190.5	0	0.065813108	0.029436211	0	0	0.025304382	3.761565396
T10D4.16	0	0	0.166864304	0	0	0	5562.810133
R04A9.6	0.541955564	0.502136225	0.898361333	0.142917126	0.275156784	0.235969063	2.96991666
ngn-1	0.411138704	0.297562207	0.124772407	0.047639042	0.042331813	0.042903466	6.272644042
C07D8.5	0.0512193	0.050971304	0	0	0	0	3406.6868
srpr-2.2	0.83345691	2.85689608	14.90083335	2.006581974	3.985615777	2.232320964	2.260458877
T19C3.3	33.01166484	30.92807189	27.20306809	15.25729967	16.25222989	12.20442143	2.084982088
ser-7	1.306697097	1.072805478	1.057814575	0.395554094	0.517981396	0.524976269	2.389495344
F42A6.2	0	0.06746202	0	0	0	0	2249.400667
zipt-2.2	6.321925004	6.822144963	6.159835507	3.147579567	3.02067722	2.880048381	2.133427765
hlh-1	3.757937757	3.782482328	3.77068415	1.614845169	1.605190793	1.306423863	2.49888537
F26B1.8	140.7986539	195.0799233	266.1746372	94.52181441	87.27100089	71.1862352	2.379854036
F46B6.2	0.141114397	0.060184776	0.067297071	0	0	0	8953.208133
C16C4.18	1.037190821	1.032168906	1.538859691	0.293774093	0	0.661428434	3.777399601
unc-55	0.113768646	0.150957061	0.088618063	0.072503661	0.064426388	0.021765469	2.226551666
21ur-4875	0	0	1.319022592	0	0	0	43968.0864
C48A7.8	0.144054281	0	0	0	0	0	4802.476033
srh-173	0.051794798	0.103088031	0.034581117	0.033008325	0.029331031	0	3.038747441
sri-14	0.060654434	0	0	0	0	0	2022.481133
ncs-7	0.163080318	0.324581417	0.696842124	0.124715417	0.110821491	0.112318036	3.405166088
C33A11.5	0.227954027	0.453700618	0.152194915	0	0	0	27794.98533
hex-2	3.370435834	3.250381146	2.55187788	1.22528893	1.11502137	0.810997678	2.910757985
fip-7	0	0	0.074460953	0	0	0	2482.698433
F54E7.10	5.343104229	7.506682956	6.92486861	1.802704661	0.355972063	0.721558292	6.865639674
C07C7.3	0.406741498	0.60715818	0.54312695	0.259212435	0	0.23344533	3.16039883
